"rid","us_lake_coverage"
701288865,0
701288867,0
701288875,0
701288879,0
701288881,0
701288895,0
701288897,0
701288919,0
701288921,0
701288933,0
701288935,0
701288944,0
701288946,0
701288956,0
701288958,0
701288963,0
701288965,0
701288971,0
701288973,0
701288975,0
701288977,0
701288983,0
701288985,0
701288992,0.911356573333141
701288994,0
701288996,0
701288998,0
701289005,0.00151758334845417
701289007,0
701289018,0
701289020,0
701289021,0.911356573333141
701289028,0
701289031,0
701289036,0.000835882656060025
701289038,0
701289045,0.0445738891627279
701289047,0
701289052,0
701289054,0
701289065,0.911356573333141
701289069,0.00513238317115186
701289073,0
701289075,0.00603892817673795
701289083,0.00918815613969867
701289085,0.911356573333141
701289088,0.0445738891627279
701289089,0
701289094,0
701289096,0
701289100,0.0445738891627279
701289103,0
701289105,0.00513238317115186
701289106,0.00192343409979782
701289107,0
701289109,0.0445738891627279
701289111,0.0445738891627279
701289118,0
701289120,0
701289130,0.00192343409979782
701289136,0
701289139,0.00459949922797082
701289141,0
701289143,0
701289151,0.00199410201269813
701289154,0.0445738891627279
701289157,0.000591994782133569
701289159,0
701289160,0
701289164,0
701289165,0.00199410201269813
701289175,0.059914624477273
701289176,0.0391083491472148
701289178,0
701289181,0.059914624477273
701289190,0.059914624477273
701289191,0.00199410201269813
701289193,0.0579546537191078
701289196,0.054154119508348
701289200,0.054154119508348
701289217,0.00459949922797082
701289219,0.00199410201269813
701289224,0
701289226,0.054154119508348
701289232,0.00459949922797082
701289246,0
701289249,0.054154119508348
701289250,0
701289262,0.0190455039137669
701289263,0
701289266,0.054154119508348
701289271,0.0098894341630111
701289272,0.054154119508348
701289277,0.00481924665115748
701289283,0.00459949922797082
701289285,0.00459949922797082
701289288,0
701289290,0
701289293,0.000569392792357181
701289295,0.000569392792357181
701289298,0
701289306,0
701289312,0
701289317,0
701289319,0
701289320,0.0190455039137669
701289324,0
701289326,0.000569392792357181
701289335,0
701289337,0
701289340,0
701289342,0.00906571662245663
701289343,0
701289344,0
701289348,0.0190455039137669
701289351,0
701289355,0
701289363,0.00906571662245663
701289375,0.00906571662245663
701289381,0.0190455039137669
701289383,0
701289387,0
701289390,0.0190455039137669
701289392,0.00906571662245663
701289399,0
701289402,0
701289404,0
701289406,0
701289408,0
701289415,0
701289416,0.0093017497995408
701289418,0.00577501866171819
701289424,0.00577501866171819
701289426,0
701289427,0
701289430,0
701289432,0.00021970514530014
701289433,0
701289435,0
701289440,0
701289446,0
701289448,0.00577501866171819
701289455,0.00528607949998272
701289459,0
701289461,0.00528607949998272
701289469,0
701289476,0.000280719193728102
701289480,0
701289488,0.00280739948448665
701289490,0.00252416257698554
701289491,0
701289496,0.00252416257698554
701289500,0.00252416257698554
701289501,0
701289509,0
701289511,0.000300532333099673
701289513,0
701289515,0
701289520,0
701289522,0
701289525,0
701289529,0.00252416257698554
701289533,0
701289541,0
701289542,0.00263434338322106
701289543,0.00252416257698554
701289545,0.00254603434882908
701289552,0.00252416257698554
701289553,0.000324536447542497
701289563,0
701289567,0
701289569,0
701289571,0.00251590237393226
701289575,0
701289577,0.00251590237393226
701289585,0
701289591,0
701289596,0
701289607,0.000187900201062108
701289611,0
701289616,0
701289621,0.000187900201062108
701289623,0.00221941451301926
701289624,0.00182864613881813
701289625,0
701289629,0.00223425924135253
701289635,0.00223425924135253
701289641,0.00231177612985637
701289647,0.00223425924135253
701289652,0.00231177612985637
701289657,0
701289659,0
701289664,0
701289666,0
701289672,0
701289675,0.00163034343207497
701289680,0.00163034343207497
701289685,0.00163034343207497
701289687,0.00190293343390849
701289688,0
701289691,0
701289692,0
701289693,0.00190293343390849
701289700,0.0016433898562204
701289702,0.00190293343390849
701289707,0.0012311146782003
701289711,0
701289712,0.000343518460063294
701289717,0
701289719,0
701289720,0.00190293343390849
701289726,0
701289728,0.0012311146782003
701289730,0
701289731,0
701289741,0.00190293343390849
701289743,0
701289745,0
701289747,0
701289753,0
701289767,0.00160883223856828
701289773,0
701289775,0
701289778,0.00184439115535765
701289780,0.000348510008455211
701289782,0
701289785,0.00160883223856828
701289786,0
701289789,0.00190293343390849
701289793,0.00906761680202567
701289794,0.00190293343390849
701289795,0
701289797,0.00184439115535765
701289804,0
701289806,0.00154150619518533
701289808,0.00906761680202567
701289815,0.00190293343390849
701289819,0.00190293343390849
701289822,0
701289826,0.00906761680202567
701289827,0
701289828,0
701289831,0
701289832,0
701289841,0.00906761680202567
701289843,0
701289848,0.00147314605362896
701289853,0
701289855,0.00147314605362896
701289858,0.00190293343390849
701289861,0.00147314605362896
701289867,0
701289869,0.00147827203568369
701289870,0
701289872,0
701289876,0.00088999637117815
701289878,0.00135403243404165
701289886,0.00184439115535765
701289888,0.00088999637117815
701289894,0
701289897,0.00088999637117815
701289904,0.00135403243404165
701289908,0.00037086707829231
701289913,0
701289920,0
701289925,0.000943557208792072
701289928,0
701289934,0
701289937,0
701289938,0
701289943,0.00135403243404165
701289945,0
701289946,0
701289950,0.000943557208792072
701289954,0
701289955,0.000943557208792072
701289957,0.000464262287583495
701289958,0.000943557208792072
701289963,0.000943557208792072
701289964,0.000943557208792072
701289967,0
701289969,0
701289971,0.000943557208792072
701289974,0.000943557208792072
701289975,0.000943557208792072
701289976,0.000943557208792072
701289978,0.000943557208792072
701289988,0
701289996,0
701289999,0
701290002,0.00088999637117815
701290004,0
701290007,0.00132477678679265
701290015,0.000535962484132802
701290017,0
701290024,0.00170884490634408
701290027,0.00170884490634408
701290028,0.00132477678679265
701290030,0
701290032,0.00170884490634408
701290035,0.00170884490634408
701290039,0
701290041,0
701290046,0.00131614360082355
701290049,0.000421602092605056
701290052,0.000587540059925068
701290056,0.000509827296978443
701290058,0
701290062,0.00131079263311826
701290063,0.000388309912811348
701290065,0
701290067,0
701290069,0
701290071,0.00371181466325978
701290075,0.00170884490634408
701290077,0.00371181466325978
701290079,0
701290087,0
701290092,0.00170884490634408
701290098,0
701290100,0
701290101,0
701290102,0
701290103,0.00130648935310566
701290109,0.0013242598712253
701290113,0.0192515977756242
701290115,0.0192515977756242
701290117,0.000388309912811348
701290121,108.105010267559
701290122,0
701290124,0.00132379125146415
701290126,0.00359845580607607
701290127,0
701290129,0.0190928986907705
701290130,0.0162020240584751
701290132,0.00140995844286479
701290136,0.0164828805246436
701290138,0.00140995844286479
701290139,0
701290140,0.0674186519579252
701290150,0.0190928986907705
701290166,0.00132322473071836
701290167,0.0190928986907705
701290169,0.0190928986907705
701290171,0.00140995844286479
701290174,0.0190928986907705
701290178,0.0190928986907705
701290183,0.100364574676396
701290190,0.100364574676396
701290200,0.00132310271427928
701290209,0.0007413096190358
701290212,0.100364574676396
701290215,0.0190928986907705
701290218,0
701290219,0.00140995844286479
701290221,0.00132191780445982
701290225,0.00170884490634408
701290227,0.00818305891215298
701290228,0.100364574676396
701290231,0.0484989101370884
701290233,0.00170884490634408
701290235,0.00132969154972583
701290240,0.100364574676396
701290248,0.00818305891215298
701290250,0.00132969154972583
701290256,0.00818305891215298
701290261,0
701290265,108.105010267559
701290268,0.100364574676396
701290272,0.00252633340999097
701290280,0.0424693952889747
701290282,0
701290287,0
701290289,0
701290291,0.00132261888431379
701290292,0
701290293,0.0901372331831013
701290296,0.00897850948786955
701290298,0
701290301,0.00504084489203023
701290304,0.00170884490634408
701290307,0.00111174827351015
701290308,0.00907814454040921
701290310,0.00818305891215298
701290311,0
701290317,0
701290323,0
701290326,0.00111174827351015
701290327,0
701290328,0
701290330,0.00879985915783931
701290331,0.00264396604084311
701290332,0.00334955939472925
701290334,0.00129768317940932
701290340,0.00144464229067721
701290344,0
701290347,0.00481252403024372
701290354,0.0484989101370884
701290356,0.00350942777587151
701290357,0.00275137793994903
701290359,0
701290366,0.0360591778231909
701290369,0
701290374,0.00755985853286034
701290375,0
701290376,0.00650677287747033
701290377,0.00385052814172346
701290384,0.00102610702474824
701290385,0.00170884490634408
701290387,0.0360591778231909
701290390,0.0131375691788409
701290396,0
701290403,0
701290404,0
701290406,0
701290411,0
701290423,0
701290425,0
701290436,0
701290438,0
701290440,0
701290449,0
701290451,0
701290452,0
701290454,0.00650677287747033
701290457,0
701290462,0
701290464,0
701290471,0.00144545400923911
701290475,0
701290476,0.00169801000946526
701290485,0.00650677287747033
701290486,0
701290489,0
701290490,0.00165030836776725
701290492,0.00812667767452867
701290496,0.00451108739358881
701290499,0
701290506,0.00173322504243903
701290513,0.00186105358007205
701290515,0
701290518,0.00650677287747033
701290520,0
701290522,0
701290531,0
701290535,0.00186105358007205
701290541,0
701290542,0
701290544,0
701290545,0.00812667767452867
701290549,0
701290551,0
701290555,0.00812667767452867
701290557,0
701290560,0
701290563,0
701290567,0.00812667767452867
701290571,0
701290579,0
701290580,0.00186105358007205
701290582,0
701290583,0.00186105358007205
701290588,0
701290597,0.000524221785276688
701290598,0
701290600,0.00186105358007205
701290607,0.00271208901299725
701290617,0
701290619,0
701290620,0.00143187042653148
701290622,0.00271208901299725
701290623,0.00180312962546814
701290627,0
701290633,0
701290635,0.00142377478967882
701290637,0
701290640,0.00271208901299725
701290647,0.181905007897538
701290649,0.0158176270820809
701290652,0
701290654,0
701290656,0.181905007897538
701290658,0.00499662035669377
701290661,0.00499662035669377
701290679,0.00271208901299725
701290691,0
701290695,0
701290696,0.181905007897538
701290703,0
701290706,0.00228306466508409
701290710,0
701290711,0.00141676677434763
701290728,0
701290734,0
701290738,0
701290740,0
701290755,0.00812667767452867
701290757,0
701290758,0
701290765,0
701290767,0.00141676677434763
701290771,0
701290784,0.194515914584897
701290785,0
701290787,0
701290789,0
701290791,0.00222120928239129
701290793,0.0323156189367656
701290795,0
701290799,0.0323156189367656
701290802,0.0110447018508932
701290804,0
701290808,0
701290809,0.216027548889157
701290817,0
701290819,0.00228306466508409
701290821,0.00139931363466757
701290831,0
701290834,0
701290835,0
701290837,0
701290838,0
701290844,0.00228306466508409
701290845,0.16247400825965
701290847,0
701290856,0
701290861,0
701290865,0
701290867,0
701290868,0
701290875,0
701290880,0
701290882,0
701290888,0.00139931363466757
701290890,0
701290892,0
701290901,0.0110447018508932
701290905,0.000173490592320396
701290908,0
701290911,0
701290913,0.00271208901299725
701290914,0.0110447018508932
701290916,0
701290919,0.000699618095999693
701290923,0.000173490592320396
701290934,0
701290947,0.00517476621121345
701290950,0
701290956,0.00228306466508409
701290959,0
701290961,0
701290963,0.00910966770992897
701290964,0
701290966,0
701290969,0
701290971,0
701290976,0.00446453972350811
701290977,0
701290981,0
701290985,0.00117015693684124
701290992,0
701290996,0
701290998,0.00910966770992897
701291001,0
701291005,0.35985419766907
701291007,0
701291013,0.0074788230205541
701291017,0.00118419748984865
701291028,0.0311644053516209
701291029,0.0123917320466496
701291030,0
701291034,0.121425580815079
701291038,0
701291039,0.0074788230205541
701291040,0.0422674486955204
701291041,0
701291044,0
701291048,0
701291052,0
701291054,0
701291055,0.0311644053516209
701291062,0
701291069,0.0311644053516209
701291077,0
701291079,0
701291081,0.0041657688972492
701291089,0.0311644053516209
701291094,0
701291097,0.0311644053516209
701291105,0.00744615658323139
701291110,0
701291113,0.0311644053516209
701291116,0
701291117,0
701291123,0
701291125,0.00782361879580364
701291131,0
701291133,0
701291138,0.0041657688972492
701291143,0
701291144,0.00782361879580364
701291146,0
701291148,0
701291152,0.0471228006259504
701291155,0.121425580815079
701291156,0
701291158,0
701291173,0.0311644053516209
701291178,0
701291181,0
701291183,0.0231167707242705
701291193,0.0231167707242705
701291195,0.0041657688972492
701291196,0.00139931363466757
701291198,0
701291199,0.0203437238593704
701291200,0
701291207,0.00738588434164722
701291208,0
701291212,0.0190400318670152
701291217,0
701291219,0.00329550274045285
701291225,0
701291229,0
701291230,0.00329550274045285
701291236,0.0041657688972492
701291237,0.0231167707242705
701291239,0
701291247,0.00669806676690791
701291251,0.00271208901299725
701291253,0.120189339304113
701291257,0
701291259,0
701291266,0.0313973596542962
701291268,0
701291274,0.0178025117116404
701291277,0.120189339304113
701291287,0.0168524917520439
701291290,0.0174168266145383
701291293,0
701291295,0
701291303,0.0336744874500552
701291304,0.0174168266145383
701291305,0
701291306,0
701291309,0
701291311,0
701291313,0
701291318,0.120189339304113
701291329,0
701291331,0.0155700248973343
701291335,0
701291336,0.0136867286132738
701291344,0.0136867286132738
701291347,0.00329550274045285
701291348,0
701291352,0
701291354,0.0168524917520439
701291356,0
701291358,0.00882804264641252
701291359,0.00992096959644946
701291360,0.00882804264641252
701291363,0
701291365,0.0041657688972492
701291368,0
701291384,0
701291386,0
701291388,0.00138677005008655
701291400,0.00882804264641252
701291404,0
701291408,0.00882804264641252
701291410,0
701291412,0.120189339304113
701291418,0
701291433,0.00113364402930505
701291437,0.0305071653519436
701291443,0.0168524917520439
701291446,0.0792336899217383
701291448,0.00343111439398726
701291450,0.00138677005008655
701291453,0
701291462,0
701291465,0
701291472,0.0168524917520439
701291476,0
701291477,0
701291483,0.0792336899217383
701291485,0
701291490,0.0707874326630717
701291496,0.120189339304113
701291499,0.120189339304113
701291504,0.00824813325464153
701291507,0
701291510,0.120189339304113
701291511,0
701291519,0.00174797240794051
701291521,0
701291523,0
701291524,0.0168524917520439
701291529,0.0041657688972492
701291530,0
701291533,0
701291534,0.0041657688972492
701291536,0
701291546,0.0707874326630717
701291548,0
701291553,0.00158039489875189
701291555,0.0041657688972492
701291560,0
701291562,0
701291565,0.00610698597027803
701291567,0.35985419766907
701291569,0.00053847917063557
701291574,0
701291576,0.00393367514947039
701291577,0
701291578,0.366096677368217
701291579,0.0168524917520439
701291588,0.00053847917063557
701291593,0
701291595,0.00105943536761558
701291599,0.0206852979738272
701291600,0
701291602,0
701291604,0
701291607,0.000916423247153585
701291608,0
701291610,0
701291612,0.000916423247153585
701291614,0.00393367514947039
701291617,0
701291620,0
701291623,0.0573488898633115
701291625,0
701291629,0.01690123401787
701291631,0.00268009171135997
701291632,0.00824813325464153
701291634,0
701291644,0
701291646,0.000916423247153585
701291648,0
701291650,0
701291654,0.006514030265688
701291661,0
701291662,0.00597447490642455
701291666,0.00271208901299725
701291668,0.000736830653129324
701291673,0.000578184739701994
701291675,0.017051307146339
701291683,0.0305071653519436
701291693,0
701291694,0
701291696,0
701291700,0
701291702,0
701291703,0
701291708,0.0208041245903788
701291711,0.0227255679143564
701291713,0.017051307146339
701291719,0
701291722,0
701291723,0.006256018324631
701291725,0
701291727,0.00113364402930505
701291728,0.00393367514947039
701291730,0
701291732,0
701291734,0.00053847917063557
701291735,0
701291737,0
701291739,0
701291743,0.000578184739701994
701291745,0
701291747,0.00621773794411499
701291751,0.0409155485436606
701291754,0
701291766,0.044764379504509
701291767,0
701291769,0
701291787,0
701291795,0
701291801,0.00105943536761558
701291805,0.00599990237395383
701291810,0
701291814,0
701291816,0
701291819,0
701291821,0
701291828,0.109715664621258
701291830,0.044764379504509
701291853,0.109715664621258
701291855,0
701291856,0
701291874,0.0027798260738361
701291879,0.000578184739701994
701291880,0.000736830653129324
701291881,0
701291883,0
701291885,0
701291886,0.00323646101449453
701291887,0
701291897,0
701291899,0
701291900,0.044764379504509
701291905,0
701291907,0
701291909,0
701291910,0
701291911,0.0116166371890567
701291918,0.0601486483950596
701291919,0
701291923,0.00621269672452147
701291925,0
701291931,0
701291939,0.000736830653129324
701291940,0.00572691299981909
701291942,0.017051307146339
701291949,0
701291961,0.044764379504509
701291963,0
701291971,0
701291978,0.000578184739701994
701291980,0.00278379596393671
701291983,0.0657724563164575
701291989,0.0587323627561887
701291995,0
701291997,0.000779899444169075
701291999,0.0320491403677592
701292004,0.1564870273755
701292005,0.00588728554391022
701292007,0.00526832944251167
701292013,0
701292015,0.0320491403677592
701292017,0
701292021,0
701292033,0.0267191344958249
701292036,0.1564870273755
701292039,0
701292041,0
701292049,0
701292051,0.000736830653129324
701292054,0.1564870273755
701292056,0
701292063,0.000578184739701994
701292069,0
701292070,0.000719583857922356
701292074,0.00278379596393671
701292076,0
701292086,0.00276771664391629
701292089,0
701292096,0.00579200586561643
701292107,0
701292110,0.00527872269812268
701292112,0
701292118,0.000696418814429043
701292126,0.000696418814429043
701292129,0.000461888488760756
701292131,0
701292134,0
701292135,0.00782466260297579
701292136,0
701292137,0.000461888488760756
701292145,0.0132885692362004
701292147,0
701292148,0.000578184739701994
701292150,0.0254562232667916
701292151,0
701292154,0
701292157,0.0051643400866917
701292159,0
701292162,0.0254562232667916
701292164,0.000461888488760756
701292165,0.0249312413085545
701292166,0
701292167,0.00813530316525782
701292168,0
701292170,0.0322438219382474
701292172,0
701292174,0
701292175,0.0314205078724406
701292182,0.00753386329616166
701292184,0
701292186,0.0465254873087624
701292197,0.0314205078724406
701292200,0.0465254873087624
701292203,0.00733394663063384
701292205,0
701292208,0.0116166371890567
701292210,0
701292216,0
701292218,0
701292219,0
701292228,0.000390116023230049
701292232,0.00700583492464466
701292236,0.000390116023230049
701292237,0.0465254873087624
701292239,0.0314205078724406
701292240,0
701292246,0
701292248,0
701292252,0.00276771664391629
701292254,0
701292259,0
701292260,0.00694851590365937
701292262,0
701292274,0.0116166371890567
701292276,0.000390116023230049
701292280,0.0314205078724406
701292285,0
701292289,0.00275840353439557
701292292,0.00114689072008452
701292298,0
701292301,0
701292305,0.0327938182468492
701292306,0
701292311,0
701292314,0.0329583850641837
701292320,0.0565029867960165
701292325,0
701292327,0.00683608728275257
701292328,0
701292329,0
701292331,0
701292337,0.00792872707258171
701292343,0
701292347,0.00679142417441813
701292349,0
701292353,0
701292357,0
701292360,0
701292361,0.006675931433782
701292364,0.00774718390921513
701292369,0
701292370,0.00774718390921513
701292371,0.00774718390921513
701292372,0.00774718390921513
701292377,0
701292379,0
701292382,0.00648374246440302
701292385,0.00649387154537245
701292389,0
701292390,0
701292395,0.0479696573683666
701292396,0
701292397,0.0505552159644039
701292398,0.0157473608884078
701292399,0.0124225674663917
701292401,0.0323910432220001
701292417,0
701292431,0.00792872707258171
701292432,0
701292433,0
701292438,0.00228063951764022
701292439,0
701292441,0
701292444,0
701292446,0.00555102431662412
701292449,0.0116962243572717
701292452,0.005478985954667
701292453,0.00528292630487385
701292454,0
701292457,0.0116962243572717
701292460,0.00792872707258171
701292462,0.00792872707258171
701292466,0.00792872707258171
701292467,0
701292469,0.00114501725659722
701292478,0.0124225674663917
701292482,0
701292502,0
701292504,0
701292513,0.0323910432220001
701292514,0
701292518,0.000578184739701994
701292521,0
701292523,0
701292535,0.000578184739701994
701292537,0.0323910432220001
701292540,0
701292552,0
701292560,0
701292561,0
701292565,0.00114689072008452
701292572,0
701292574,0.0505552159644039
701292579,0
701292581,0
701292583,0
701292586,0.00114689072008452
701292587,0
701292593,0.00114689072008452
701292595,0.00774718390921513
701292600,0
701292612,0.00774718390921513
701292614,0
701292621,0.0507640306777312
701292622,0.0505552159644039
701292624,0.1564870273755
701292626,0
701292630,0.0124225674663917
701292637,0.00114689072008452
701292644,0
701292645,0.041936581953018
701292648,0
701292649,0
701292652,0
701292657,0.0249212173565476
701292660,0
701292664,0
701292666,0
701292668,0.0566325363323643
701292671,0
701292676,0
701292681,0.0105840639978332
701292683,0
701292684,0.043548711706108
701292685,0
701292686,0
701292688,0.000775340231812931
701292696,0.00774718390921513
701292699,0.00774718390921513
701292703,0.0566325363323643
701292706,0
701292715,0.00686635335871511
701292720,0
701292722,0.0105840639978332
701292726,0.0566325363323643
