"rid","us_area_m2","var_area_m2"
701290121,39.8342115769628,39.834212
701290122,135737.879064331,135737.879064
701290124,75929604.6782324,75929604.678238
701290126,648160.690435249,648160.690435
701290127,1978721.89131554,1978721.891316
701290129,499455.475924111,499455.475924
701290130,143955.939759522,143955.939759
701290132,7686061.35503309,7686061.355033
701290136,141503.033768129,141503.033768
701290138,7686061.35503309,7686061.355033
701290139,135737.879064331,135737.879064
701290140,120997.942913929,120997.942914
701290150,499455.475924111,499455.475924
701290166,75962112.9100509,75962112.910056
701290167,499455.475924111,499455.475924
701290169,499455.475924111,499455.475924
701290171,7686061.35503309,7686061.355033
701290174,499455.475924111,499455.475924
701290178,499455.475924111,499455.475924
701290183,27321.5355568258,27321.535557
701290190,27321.5355568258,27321.535557
701290200,75969118.1307154,75969118.130721
701290209,3959558.63073069,3959558.63073
701290212,27321.5355568258,27321.535557
701290215,499455.475924111,499455.475924
701290218,2477893.80223847,2477893.802238
701290219,7686061.35503309,7686061.355033
701290221,76037213.5551741,76037213.55518
701290225,14954838.8535464,14954838.853547
701290227,1359936.70838832,1359936.708388
701290228,27321.5355568258,27321.535557
701290231,167917.678523712,167917.678524
701290233,14954838.8535464,14954838.853547
701290235,83742709.7457516,83742709.745757
701290240,27321.5355568258,27321.535557
701290248,1359936.70838832,1359936.708388
701290250,83742709.7457516,83742709.745757
701290256,1359936.70838832,1359936.708388
701290261,45469.2925181061,45469.292518
701290265,39.8342115769628,39.834212
701290268,27321.5355568258,27321.535557
701290272,4928130.60655003,4928130.60655
701290280,3438.89051139355,3438.890511
701290282,448838.846354436,448838.846354
701290287,425413.137153373,425413.137154
701290289,261400.42103371,261400.421034
701290291,84190521.4122611,84190521.412267
701290292,425413.137153373,425413.137154
701290293,27475.0823594183,27475.082359
701290296,1376270.04994834,1376270.049948
701290298,2477893.80223847,2477893.802238
701290301,991464.170673389,991464.170673
701290304,14954838.8535464,14954838.853547
701290307,935677.729199578,935677.7292
701290308,1361165.11987774,1361165.119877
701290310,1359936.70838832,1359936.708388
701290311,554537.16557402,554537.165574
701290317,45469.2925181061,45469.292518
701290323,425413.137153373,425413.137154
701290326,935677.729199578,935677.7292
701290327,45469.2925181061,45469.292518
701290328,116366.659700018,116366.6597
701290330,489357.445649697,489357.44565
701290331,5745994.86734091,5745994.867341
701290332,245500.796650821,245500.796651
701290334,633682.791802438,633682.791803
701290340,85632843.5063784,85632843.506384
701290344,290668.613300591,290668.613301
701290347,1038502.26391478,1038502.263914
701290354,167917.678523712,167917.678524
701290356,1227059.47376314,1227059.473763
701290357,4525042.09590194,4525042.095902
701290359,614059.494282736,614059.494283
701290366,231618.800084186,231618.800084
701290369,282019.246085394,282019.246085
701290374,1646869.57375077,1646869.573751
701290375,118493.358458448,118493.358458
701290376,1283583.06896459,1283583.068965
701290377,3233348.91778486,3233348.917785
701290384,2860577.72663669,2860577.726636
701290385,14954838.8535464,14954838.853547
701290387,231618.800084186,231618.800084
701290390,635732.789346875,635732.789347
701290396,553890.961664978,553890.961665
701290403,280173.357383505,280173.357384
701290404,290668.613300591,290668.613301
701290406,1443702.12270299,1443702.122702
701290411,200318.15307487,200318.153075
701290423,735120.352123132,735120.352124
701290425,269216.416770079,269216.41677
701290436,2477893.80223847,2477893.802238
701290438,511982.920727989,511982.920728
701290440,661268.206257397,661268.206257
701290449,83121.571662521,83121.571663
701290451,10418.4738402674,10418.47384
701290452,522441.251339808,522441.25134
701290454,1283583.06896459,1283583.068965
701290457,511982.920727989,511982.920728
701290462,661268.206257397,661268.206257
701290464,10418.4738402674,10418.47384
701290471,17679912.3574565,17679912.357457
701290475,511982.920727989,511982.920728
701290476,17712801.2393209,17712801.239321
701290485,1283583.06896459,1283583.068965
701290486,334242.384084005,334242.384084
701290489,280243.564733388,280243.564733
701290490,18224784.1600489,18224784.160049
701290492,236357.190083765,236357.190084
701290496,1107896.31509109,1107896.31509
701290499,60260.8027941566,60260.802794
701290506,18461141.3501326,18461141.350133
701290513,18618305.0671182,18618305.067119
701290515,83121.571662521,83121.571663
701290518,1283583.06896459,1283583.068965
701290520,867000.990316114,867000.990316
701290522,89020.6524207778,89020.652421
701290531,614329.677782916,614329.677783
701290535,18618305.0671182,18618305.067119
701290541,614329.677782916,614329.677783
701290542,776773.292748302,776773.292748
701290544,280173.357383505,280173.357384
701290545,236357.190083765,236357.190084
701290549,755345.139169207,755345.139169
701290551,920154.389671323,920154.389671
701290555,236357.190083765,236357.190084
701290557,2556528.12807256,2556528.128072
701290560,614329.677782916,614329.677783
701290563,183986.415576946,183986.415577
701290567,236357.190083765,236357.190084
701290571,184785.360041492,184785.360041
701290579,323922.553202532,323922.553203
701290580,18618305.0671182,18618305.067119
701290582,415239.871269565,415239.87127
701290583,18618305.0671182,18618305.067119
701290588,439363.169372651,439363.169373
701290597,6013468.89531475,6013468.895315
701290598,553890.961664978,553890.961665
701290600,18618305.0671182,18618305.067119
701290607,25055571.8392772,25055571.839278
701290617,439363.169372651,439363.169373
701290619,415239.871269565,415239.87127
701290620,86396663.3489152,86396663.348922
701290622,25055571.8392772,25055571.839278
701290623,20120710.8394805,20120710.839481
701290627,439363.169372651,439363.169373
701290633,183986.415576946,183986.415577
701290635,86887918.0169955,86887918.017003
701290637,222775.304203399,222775.304203
701290640,25055571.8392772,25055571.839278
701290647,30635.4331212516,30635.433121
701290649,352311.928393441,352311.928393
701290652,415239.871269565,415239.87127
701290654,222775.304203399,222775.304203
701290656,30635.4331212516,30635.433121
701290658,4928023.31198354,4928023.311984
701290661,4928023.31198354,4928023.311984
701290679,25055571.8392772,25055571.839278
701290691,876784.306111894,876784.306112
701290695,323922.553202532,323922.553203
701290696,30635.4331212516,30635.433121
701290703,278476.346410025,278476.34641
701290706,3844587.86200229,3844587.862003
701290710,2403436.33945753,2403436.339458
701290711,87317707.783774,87317707.783782
701290728,84125.8550197557,84125.85502
701290734,200711.126706857,200711.126707
701290738,200711.126706857,200711.126707
701290740,323922.553202532,323922.553203
701290755,236357.190083765,236357.190084
701290757,64224.024497021,64224.024497
701290758,538287.687057629,538287.687058
701290765,538287.687057629,538287.687058
701290767,87317707.783774,87317707.783782
701290771,2403436.33945753,2403436.339458
701290784,339571.414183427,339571.414183
701290785,84125.8550197557,84125.85502
701290787,876784.306111894,876784.306112
701290789,536054.731020662,536054.731021
701290791,1321468.86083091,1321468.860831
701290793,359924.596262679,359924.596263
701290795,718340.103532832,718340.103533
701290799,359924.596262679,359924.596263
701290802,1053100.95799315,1053100.957994
701290804,2556528.12807256,2556528.128072
701290808,23956.1638095845,23956.16381
701290809,523498.683348503,523498.683348
701290817,2143841.51493077,2143841.51493
701290819,3844587.86200229,3844587.862003
701290821,88406790.3973649,88406790.397373
701290831,177382.292369355,177382.292369
701290834,165675.57695464,165675.576955
701290835,2403436.33945753,2403436.339458
701290837,130390.779884964,130390.779885
701290838,1006595.22927063,1006595.229271
701290844,3844587.86200229,3844587.862003
701290845,696050.639866352,696050.639866
701290847,156733.912493216,156733.912493
701290856,44971.4231752679,44971.423175
701290861,2556528.12807256,2556528.128072
701290865,147199.082579682,147199.08258
701290867,1343812.55465154,1343812.554652
701290868,631591.258119226,631591.258119
701290875,1287713.50114232,1287713.501142
701290880,549180.508929119,549180.508929
701290882,1667470.76428271,1667470.764282
701290888,88406790.3973649,88406790.397373
701290890,876784.306111894,876784.306112
701290892,128880.387392033,128880.387392
701290901,1053100.95799315,1053100.957994
701290905,2878707.67708871,2878707.677088
701290908,116382.749842368,116382.749842
701290911,403957.76899516,403957.768995
701290913,25055571.8392772,25055571.839278
701290914,1053100.95799315,1053100.957994
701290916,116382.749842368,116382.749842
701290919,4505874.58791711,4505874.587917
701290923,2878707.67708871,2878707.677088
701290934,2095719.58245486,2095719.582454
701290947,2886580.82136795,2886580.821367
701290950,190198.465273391,190198.465273
701290956,3844587.86200229,3844587.862003
701290959,340138.626583852,340138.626584
701290961,14445.6937180581,14445.693718
701290963,1276795.86907717,1276795.869078
701290964,2556528.12807256,2556528.128072
701290966,1078841.69712675,1078841.697127
701290969,95264.3195594613,95264.319559
701290971,666688.099334841,666688.099335
701290976,4668759.75822531,4668759.758224
701290977,190198.465273391,190198.465273
701290981,1659204.39567699,1659204.395677
701290985,2693990.26807609,2693990.268076
701290992,156459.915603448,156459.915603
701290996,92662.3269357793,92662.326936
701290998,1276795.86907717,1276795.869078
701291001,1659204.39567699,1659204.395677
701291005,16921.4029646404,16921.402965
701291007,227783.04872478,227783.048725
701291013,1555216.1173947,1555216.117396
701291017,2662048.70972529,2662048.709725
701291028,3514062.24064038,3514062.240639
701291029,4914277.6304487,4914277.630447
701291030,92662.3269357793,92662.326936
701291034,852865.141767412,852865.141767
701291038,836342.767363992,836342.767364
701291039,1555216.1173947,1555216.117396
701291040,185985.464991072,185985.464991
701291041,964420.027267479,964420.027268
701291044,964420.027267479,964420.027268
701291048,251749.102161665,251749.102162
701291052,128766.975170616,128766.975171
701291054,140627.304131858,140627.304132
701291055,3514062.24064038,3514062.240639
701291062,642662.123198971,642662.123199
701291069,3514062.24064038,3514062.240639
701291077,964420.027267479,964420.027268
701291079,425359.034024656,425359.034025
701291081,2246067.63619907,2246067.636199
701291089,3514062.24064038,3514062.240639
701291094,289341.884003554,289341.884004
701291097,3514062.24064038,3514062.240639
701291105,1562038.88145429,1562038.881456
701291110,642662.123198971,642662.123199
701291113,3514062.24064038,3514062.240639
701291116,79088.7215223294,79088.721522
701291117,678634.63191282,678634.631913
701291123,719938.639884443,719938.639884
701291125,402932.643107331,402932.643107
701291131,852910.780282661,852910.780283
701291133,328504.153457324,328504.153457
701291138,2246067.63619907,2246067.636199
701291143,497165.897177027,497165.897177
701291144,402932.643107331,402932.643107
701291146,843.511479703946,843.51148
701291148,1659204.39567699,1659204.395677
701291152,1161529.53284686,1161529.532847
701291155,852865.141767412,852865.141767
701291156,719938.639884443,719938.639884
701291158,328504.153457324,328504.153457
701291173,3514062.24064038,3514062.240639
701291178,43453.3502383158,43453.350238
701291181,642662.123198971,642662.123199
701291183,4737411.70015239,4737411.700151
701291193,4737411.70015239,4737411.700151
701291195,2246067.63619907,2246067.636199
701291196,88406790.3973649,88406790.397373
701291198,642662.123198971,642662.123199
701291199,5436410.88353263,5436410.883531
701291200,372237.052230049,372237.05223
701291207,1574785.84312497,1574785.843127
701291208,164259.481749848,164259.48175
701291212,5808647.93576268,5808647.935761
701291217,885042.366303731,885042.366304
701291219,2120703.13715754,2120703.137158
701291225,372237.052230049,372237.05223
701291229,372237.052230049,372237.05223
701291230,2120703.13715754,2120703.137158
701291236,2246067.63619907,2246067.636199
701291237,4737411.70015239,4737411.700151
701291239,1411024.19201009,1411024.192009
701291247,1736498.97881274,1736498.978815
701291251,25055571.8392772,25055571.839278
701291253,137249.115402628,137249.115403
701291257,59407.4394490366,59407.439449
701291259,391132.181904155,391132.181904
701291266,3314612.25227402,3314612.252275
701291268,189832.432405694,189832.432406
701291274,6151584.7803888,6151584.780386
701291277,137249.115402628,137249.115403
701291287,6744115.37319525,6744115.373194
701291290,6287807.90676895,6287807.906767
701291293,678634.63191282,678634.631913
701291295,115681.683450576,115681.683451
701291303,3457202.22079315,3457202.220794
701291304,6287807.90676895,6287807.906767
701291305,761417.980924416,761417.980924
701291306,110993.638155103,110993.638155
701291309,1389516.17755207,1389516.177552
701291311,3696483.30998358,3696483.309983
701291313,285869.276605711,285869.276606
701291318,137249.115402628,137249.115403
701291329,3005167.85485608,3005167.854857
701291331,7033621.38599094,7033621.385989
701291335,115681.683450576,115681.683451
701291336,8001448.93590428,8001448.935902
701291344,8001448.93590428,8001448.935902
701291347,2120703.13715754,2120703.137158
701291348,861842.43432991,861842.43433
701291352,471574.364826672,471574.364827
701291354,6744115.37319525,6744115.373194
701291356,1200144.43711691,1200144.437117
701291358,12405202.8842009,12405202.884199
701291359,11038604.5471457,11038604.547144
701291360,12405202.8842009,12405202.884199
701291363,110993.638155103,110993.638155
701291365,2246067.63619907,2246067.636199
701291368,869763.48188919,869763.481889
701291384,905463.449703693,905463.449704
701291386,305282.452334674,305282.452335
701291388,89206445.7207195,89206445.720728
701291400,12405202.8842009,12405202.884199
701291404,422286.905613806,422286.905614
701291408,12405202.8842009,12405202.884199
701291410,305282.452334674,305282.452335
701291412,137249.115402628,137249.115403
701291418,869763.48188919,869763.481889
701291433,1394429.34394276,1394429.343943
701291437,3816136.68305681,3816136.683058
701291443,6744115.37319525,6744115.373194
701291446,1427298.63415721,1427298.634157
701291448,5651640.97522415,5651640.975223
701291450,89206445.7207195,89206445.720728
701291453,23825.105596059,23825.105596
701291462,92930.111538332,92930.111538
701291465,110993.638155103,110993.638155
701291472,6744115.37319525,6744115.373194
701291476,1200144.43711691,1200144.437117
701291477,7368.37191132642,7368.371911
701291483,1427298.63415721,1427298.634157
701291485,92930.111538332,92930.111538
701291490,1597601.90686682,1597601.906866
701291496,137249.115402628,137249.115403
701291499,137249.115402628,137249.115403
701291504,13277387.3455354,13277387.345534
701291507,666957.528924053,666957.528924
701291510,137249.115402628,137249.115403
701291511,7368.37191132642,7368.371911
701291519,1803456.04176637,1803456.041766
701291521,170541.650828818,170541.650829
701291523,311820.511382746,311820.511383
701291524,6744115.37319525,6744115.373194
701291529,2246067.63619907,2246067.636199
701291530,829521.468584162,829521.468584
701291533,422925.555479553,422925.55548
701291534,2246067.63619907,2246067.636199
701291536,75342.4882507424,75342.488251
701291546,1597601.90686682,1597601.906866
701291548,189832.432405694,189832.432406
701291553,94952031.1781481,94952031.178155
701291555,2246067.63619907,2246067.636199
701291560,283617.260490309,283617.26049
701291562,75829.9045845345,75829.904585
701291565,31187510.9465698,31187510.946571
701291567,16921.4029646404,16921.402965
701291569,3008146.43959554,3008146.439595
701291574,33468.6254270524,33468.625427
701291576,2378589.5744493,2378589.574449
701291577,401968.89950067,401968.899501
701291578,43390.5047250055,43390.504725
701291579,6744115.37319525,6744115.373194
701291588,3008146.43959554,3008146.439595
701291593,401968.89950067,401968.899501
701291595,4191722.15277127,4191722.152771
701291599,7348993.98576416,7348993.985763
701291600,229174.832299927,229174.8323
701291602,1842965.03725339,1842965.037253
701291604,147672.721865326,147672.721865
701291607,4845859.93832154,4845859.938322
701291608,885042.366303731,885042.366304
701291610,115681.683450576,115681.683451
701291612,4845859.93832154,4845859.938322
701291614,2378589.5744493,2378589.574449
701291617,959817.069630116,959817.06963
701291620,959817.069630116,959817.06963
701291623,1971967.33313516,1971967.333135
701291625,170715.704792647,170715.704793
701291629,976016.336070892,976016.336071
701291631,127056621.255208,127056621.255216
701291632,13277387.3455354,13277387.345534
701291634,4201386.64706823,4201386.647068
701291644,66817.32148977,66817.32149
701291646,4845859.93832154,4845859.938322
701291648,206268.786261809,206268.786262
701291650,756801.363230661,756801.363231
701291654,1785559.11258469,1785559.112587
701291661,155652.944773365,155652.944773
701291662,30860026.4938073,30860026.493808
701291666,25055571.8392772,25055571.839278
701291668,6026973.33653624,6026973.336537
701291673,4016678.99638174,4016678.996382
701291675,326115.402866404,326115.402866
701291683,3816136.68305681,3816136.683058
701291693,158022.253787445,158022.253787
701291694,118263.430849748,118263.43085
701291696,69865.8342904516,69865.83429
701291700,450492.754371678,450492.754372
701291702,871799.014426399,871799.014426
701291703,29065.1511342336,29065.151134
701291708,5595982.29150822,5595982.291508
701291711,5122842.83657961,5122842.83658
701291713,326115.402866404,326115.402866
701291719,7368.37191132642,7368.371911
701291722,234926.258058613,234926.258059
701291723,17505329.1752791,17505329.175277
701291725,638556.993345898,638556.993346
701291727,1394429.34394276,1394429.343943
701291728,2378589.5744493,2378589.574449
701291730,147672.721865326,147672.721865
701291732,110993.638155103,110993.638155
701291734,3008146.43959554,3008146.439595
701291735,420093.299510172,420093.29951
701291737,1012734.14360156,1012734.143602
701291739,725637.713022665,725637.713022
701291743,4016678.99638174,4016678.996382
