"rid","us_MAP"
701304541,412.342569613498
701304744,414.497016808519
701304812,414.037779646927
701304986,413.33094788103
701305163,413.33094788103
701305244,413.33094788103
701305463,413.440205945774
701306086,407.16048318001
701306205,407.16048318001
701306237,406.896844006878
701306280,406.018454492442
701306314,417.315994108837
701306342,417.307218110376
701306365,417.409737956021
701306455,417.395119367506
701306533,417.393864566502
701306603,417.370505129308
701306721,417.198986942408
701306784,417.127727676988
701306885,417.108005510514
701306970,417.079419043517
701307032,417.054407750898
701307209,417.001790130071
701307455,416.32049404302
701307771,416.444488249039
701308174,416.131786026237
701308428,415.993675414085
701308495,415.983477155655
701308656,415.867998883252
701308803,415.713680829487
701309184,415.594215948238
701309209,415.331900884061
701309241,415.331900884061
701309401,415.331900884061
701309548,415.331900884061
701309587,415.24790093774
701309588,415.189662747719
701309692,414.621399548711
701309713,414.621399548711
701309807,414.621399548711
701309847,414.621399548711
701309919,414.583248610704
701309941,416.066682856561
701310053,415.974370182938
701310073,415.973646031471
701310247,415.914239239536
701310346,415.605450913781
701310419,415.582637119805
701310501,415.487348313349
701310509,415.281979394734
701310529,415.082476850262
701310618,415.067481397373
701310838,415.056609354718
701310956,414.8296060054
701311061,414.808175994033
701311071,414.759576273892
701311285,414.467177936774
701746017,529.564871019674
701746606,529.616281306185
701746689,529.646004749477
701746883,529.69375426124
701746925,529.706163032109
701747059,529.780683537228
701747264,529.875157408132
701747272,529.782052245031
701747515,529.887786254496
701747632,529.895264122889
701747850,529.918187199808
701747977,529.927826008461
701748001,530.099182603484
701748065,530.116597048956
701748263,530.124164083208
701748457,530.138632005304
701748617,530.152314596787
701748772,530.170938116455
701748855,530.17650329135
701749372,530.267331473408
701749374,530.299171334802
701749377,530.339728446422
701749886,530.397623734258
701750020,530.43061394541
701750405,530.57614827136
701750615,530.593158895169
701750719,530.600520447946
701750743,530.680502356102
701750803,530.701154228366
701751418,530.704830882631
701751480,530.738942497168
701751587,530.790547014234
701751687,530.818169650101
701751738,530.831076078537
701751806,530.86707407672
701752421,530.879265446226
701752705,530.887026786823
701752743,530.897941186892
701752834,530.904153263677
701752970,530.904195934192
701753341,530.929993617189
701753529,531.456843410332
701753543,531.461873167111
701753590,531.471472162657
701753595,531.434253641891
701753597,531.474193928786
701753625,531.454021733918
701753763,531.653328051944
701753834,531.671582610932
701753946,531.680593661161
701754023,531.70104513908
701754206,531.78731045273
701754372,532.048759441409
701754514,532.055805862075
701754546,532.257390269637
701754547,532.257428886436
701754882,532.26126469842
701754988,532.265050507747
701755180,532.282699083457
701755304,532.290044479463
701755608,532.31850215901
701755736,532.411108807463
701755815,532.422947841096
701755920,532.44091468678
701756015,532.45719208519
701756037,532.457694456391
701756101,532.481363350817
701756116,532.479075885138
701756195,532.511549468897
701756571,532.536553766856
701756795,532.614183327183
701756829,532.632076564703
701756992,532.641461056611
701757335,532.647712698981
701757381,532.661886839135
701757388,532.699976104848
701757607,532.71182104796
701757659,532.729425662581
701757784,532.738755879959
701757979,533.126637893994
701758143,533.154954519377
701758481,533.160667286059
701758931,533.166939262574
701759064,533.167170029589
701759082,533.167170029589
701759248,533.199405877091
701759307,533.215778790719
701759353,533.268024880004
701759548,533.281651383349
701759870,533.326940662127
701760069,533.612534367095
701760082,533.728687009348
701760389,533.807575373105
701760449,533.885496465477
701760512,533.82237664678
701760520,533.931102719923
701760542,533.879833445587
701760578,533.839713027549
701760742,533.877694931688
701760747,533.871360034328
701760778,533.938882959558
701760807,533.869199665789
701760818,533.854384144933
701760819,533.846989958899
701761103,533.95616700215
701761298,540.449167916815
701761377,540.45531703074
701761393,533.97343244485
701761499,540.439393040575
701761555,540.487765090099
701761603,540.427570834271
701761627,538.482193479735
701761643,538.684313186103
701761649,538.486149567241
701761654,540.589317513832
701761824,540.704219728237
701761879,540.60900287486
701761910,540.638314743008
701761916,540.688728182717
701761921,540.645316855976
701762186,540.719438090953
701762254,540.722727381601
701762313,540.793173903737
701762323,540.793251730982
701762380,540.809219202467
701762575,540.966121977936
701762593,541.073362025587
701762609,541.084638827744
701762674,541.061505238995
701762676,541.064618743147
701762695,540.966280619288
701762732,541.061617215357
701762789,541.508691235878
701762893,541.530481468552
701763409,541.575114496553
701763517,541.784018025771
701763608,541.784596348774
701763850,541.786109392158
701763889,541.810943990991
701764031,541.84338931494
701764571,542.083725546255
701764650,542.085497503222
701764876,542.085695033185
701765213,542.093414955116
701765249,543.255061299878
701765314,543.268771883708
701765466,543.337562196017
701765569,543.338459812262
701765590,543.339312144952
701765677,543.469186200897
701765714,543.46926869453
701765761,543.475626626195
701765797,543.52082837456
701765801,543.52082837456
701765910,543.521117137989
701765978,543.56741978271
701766021,543.567716898844
701766041,543.567786891381
701766252,543.586731152171
701766432,543.639458373982
701766524,543.978464626382
701766626,543.98095964113
701766718,544.219283330484
701766857,544.219843861474
701766897,544.225754705505
701767050,544.226407593362
701767173,544.236090927701
701767221,544.252269840733
701767717,544.349501899791
701767747,544.361021094026
701767788,544.403191828394
701767853,544.408127625612
701767869,544.408127625612
701767972,544.419984574405
701768024,544.440222827573
701768128,544.467278652176
701768237,544.472005041471
701768350,544.785931293214
701768359,544.800262871279
701768404,544.830900916354
701768453,544.895630909014
701768672,544.963519682209
701768680,545.334168525044
701768767,545.33817143611
701769108,545.338826791758
701769201,545.342275206531
701769292,545.346108869735
701769298,545.436308573689
701769300,545.436308573689
701769378,545.447935793118
701769398,545.519618690613
701769561,545.519618690613
701769813,545.527611277209
701769820,545.529626402866
701769957,545.533231426862
701770088,545.533260359893
701770259,545.55270252967
701770316,545.569447715688
701770594,546.603982087695
701770690,546.61228389221
701770731,546.614806396499
701770735,546.636513336536
701770787,546.762032981652
701770795,546.763437177823
701770820,546.758688958222
701770869,546.758148057869
701770886,546.942407268583
701770911,546.691152395653
701770935,546.954718251319
701770944,546.690508893161
701770945,546.640634950369
701771082,547.007133780224
701771190,507.85513112522
701771228,507.896807851111
701771258,414.467177936774
701771348,507.880225811613
701771356,547.043552635637
701771373,509.481397866448
701771411,507.852995898122
701771504,509.365067284158
701771513,547.093290379789
701771573,509.4400935872
701771576,506.788787446529
701771696,506.793458555496
701771730,507.389778323052
701771763,507.316813519055
701771767,507.402573595581
701771828,507.466946007475
701771853,507.444962849415
701771861,507.430580276479
701771877,507.80413453833
701771883,507.408199559625
701771903,507.831569294524
701771932,507.838209735292
701771942,507.310287850245
701771973,507.430062869172
701771990,507.411672031156
701772012,507.131984224283
701772018,506.998952874581
701772026,506.993539492666
701772033,507.156393558286
701772066,507.214668635494
701772070,506.993539492666
701772113,506.993138704218
701772143,507.198738770801
701772154,506.87653631077
701772185,506.871531733494
701772190,506.827764401563
701772202,506.99149428004
701772205,506.882618974913
701772231,507.198212730848
701772254,507.197420945269
701772279,506.908147909052
701772285,506.8961837061
701772289,506.991196058531
701772329,506.906372190333
701772344,506.906372190333
701772370,506.977123393711
701772381,506.907097623761
701309684,441.599397090324
701309686,440.894757956548
701309702,442.76787129896
701309706,434.966124763291
701309707,434.42178773767
701309708,440.894757956548
701309766,435.989873889688
701309771,438.820653958289
701309782,437.150130786457
701309785,437.415125202895
701309788,437.316605043863
701309796,437.417185766822
701309809,437.646522542496
701309841,438.049824453782
701309852,435.058991173023
701309900,438.730529631541
701309923,434.705281219893
701309936,434.705281219893
701309996,420.095066705412
701310028,420.791434621895
701305667,424.914457462873
701305685,411.404450208344
701305705,415.961396840176
701305710,411.404450208344
701305769,417.614835520898
701305928,417.614835520898
701305963,417.596618790069
701306031,417.534505107807
701306069,417.529266159728
701306108,417.513201671821
701306151,417.510893171262
701306159,417.508976548646
701306176,417.508976548646
701306220,417.505790203988
701306239,417.503468606234
701306279,417.496054386328
701289848,406.597033905492
701289855,406.597033905492
701289861,406.597033905492
701289869,405.710777620618
701289878,402.090890536196
701289904,402.090890536196
701289943,402.090890536196
701290007,400.18701806875
701290028,400.18701806875
701290046,399.857286661468
701290062,399.65458482055
701290103,399.488287835888
701290109,398.998165174009
701290124,398.980118302317
701290166,398.958301195874
701290200,398.953510046839
701290221,398.906982877371
701290235,394.600104104367
701290250,394.600104104367
701290291,394.346917859799
701290340,393.607117481906
701290620,393.209958856669
701290635,392.959403420879
701290711,392.735999962148
701290767,392.735999962148
701290821,392.178808741581
701290888,392.178808741581
701291196,392.178808741581
701291388,391.791749667661
701291450,391.791749667661
701291553,389.154753211022
701291631,390.706639792332
701291874,390.273716688882
701291980,389.424829557196
701292074,389.424829557196
701292086,389.199788458455
701292252,389.199788458455
701292289,389.071501747644
701292733,389.06965243897
701292926,388.373541932802
701292986,388.205118009056
701293015,389.936584660132
701293264,389.936584660132
701293531,389.936584660132
701293566,389.936584660132
701293659,389.772377573594
701293857,389.619953631299
701294013,389.619953631299
701294127,389.594484495819
701294398,388.43228173172
701295036,388.096266963757
701295272,387.578599785864
701295283,387.578599785864
701295626,387.340545227189
701295699,387.25202994235
701295727,387.25202994235
701295761,396.830480444639
701295837,396.830480444639
701295896,396.830480444639
701295934,396.830480444639
701296585,396.830480444639
701296673,396.414586093299
701297164,399.068026576417
701297386,398.980185088216
701297699,398.457858545203
701297762,398.457858545203
701297875,398.457858545203
701298382,398.457858545203
701298502,398.457858545203
701298690,414.92188046906
701298713,414.92188046906
701298714,414.92188046906
701298729,397.854212006985
701298737,397.854212006985
701298743,414.92188046906
701298779,414.92188046906
701298818,414.92188046906
701299005,414.92188046906
701299035,414.92188046906
701299093,414.92188046906
701299109,414.92188046906
701299131,414.92188046906
701299223,414.92188046906
701299251,414.92188046906
701299431,414.92188046906
701299681,414.92188046906
701299758,414.92188046906
701299786,414.92188046906
701299795,414.92188046906
701299799,414.92188046906
701299836,414.92188046906
701299889,414.92188046906
701299975,414.92188046906
701300102,414.92188046906
701300177,414.92188046906
701300231,414.92188046906
701300252,414.92188046906
701300275,414.914452328304
701300329,414.760885908622
701300353,414.760885908622
701300381,414.760885908622
701300400,414.760885908622
701300411,414.760885908622
701300417,414.760885908622
701300457,414.760885908622
701300475,414.760885908622
701300494,414.760885908622
701300508,414.760885908622
701300544,414.760885908622
701300584,414.760885908622
701300693,414.760885908622
701300753,414.760885908622
701300785,414.760885908622
701300906,414.760885908622
701300967,414.760885908622
701300975,414.642918486367
701300989,414.642918486367
701301004,414.642918486367
701301035,414.27088364915
701301051,414.27088364915
701301206,414.27088364915
701301207,414.27088364915
701301242,414.27088364915
701301294,414.27088364915
701301333,414.27088364915
701301355,414.197714256715
701301370,414.197714256715
701301717,414.197714256715
701301879,413.782090349771
701301884,414.150654554916
701301885,414.150654554916
701301919,413.782090349771
701301991,413.782090349771
701302276,413.782090349771
701302532,413.717138278168
701302570,413.711466607296
701302580,413.693382811945
701302648,415.796912371167
701302695,415.796912371167
701302817,415.796912371167
701302835,415.75273122144
701302893,415.752262955831
701302965,415.746262867747
701302997,415.697078967492
701302998,415.697912579165
701303039,415.681466142424
701303054,415.679298481287
701303061,415.64792788878
701303105,415.642154515386
701303174,415.641176364356
701303274,415.641139035616
701303348,415.630033672285
701303369,415.620915840515
701303391,415.619444993287
701303413,415.54083135955
701303424,415.495637717412
701303485,415.489311598209
701303597,415.489114106134
701303631,415.454316952594
701303796,415.449393918813
701303874,415.473444459043
701304348,415.42052698895
701304505,415.388191829111
701304637,415.328113646427
701304792,415.362235656864
701304868,415.320649214835
701304957,415.216038001937
701305143,418.023057575643
701305206,417.809912515722
701305409,417.809912515722
701305563,417.793115526162
701305606,417.752145272999
701305677,417.652453733207
701309906,442.092329194061
701309908,441.902121639285
701309911,443.371997493262
701309928,443.856921134909
701310035,443.856921134909
701310042,443.856921134909
701310044,444.823191456306
701310046,445.276105318087
701310048,445.665749912267
701310050,446.939589654397
701310075,447.117061623684
701310140,447.117061623684
701310162,459
