"rid","us_drainage_density_ruggedness"
701288865,4.20344738474581
701288867,1.12306658972255
701288875,1.53584025613394
701288879,5.21696351359664
701288881,1.72167418405157
701288895,2.21541986349408
701288897,4.71897701306315
701288919,1.33078583196338
701288921,1.53584025613394
701288933,2.37960855851084
701288935,2.797697965425
701288944,5.87923057416171
701288946,2.46763241207348
701288956,3.40135679946362
701288958,3.2833215134572
701288963,1.65822534258013
701288965,2.4951119804523
701288971,2.76414310600464
701288973,12.4902221577616
701288975,220.629728275514
701288977,3.45205259477541
701288983,4.47879716696048
701288985,2.85980991878444
701288992,44.5125014617978
701288994,1.93081000773685
701288996,2.76597888422816
701288998,2.49561504386818
701289005,2.05689120018997
701289007,3.56700775784861
701289018,39.6719472742513
701289020,7.31600977723012
701289021,44.5125014617978
701289028,3.3185258978289
701289031,3.6266620429317
701289036,1.50151406491628
701289038,9.43280220680541
701289045,20.2592263753544
701289047,0.567108812226276
701289052,3.6266620429317
701289054,2.37231324427587
701289065,44.5125014617978
701289069,2.74882881380632
701289073,3.55985192524193
701289075,2.84313823742559
701289083,2.16399969469113
701289085,44.5125014617978
701289088,20.2592263753544
701289089,1.71455559118427
701289094,3.55985192524193
701289096,1.03572513541712
701289100,20.2592263753544
701289103,2.37231324427587
701289105,2.74882881380632
701289106,3.7050737378864
701289107,1.71455559118427
701289109,20.2592263753544
701289111,20.2592263753544
701289118,1.85394524603807
701289120,4.49923537267471
701289130,3.7050737378864
701289136,27.2273334161251
701289139,2.70973603864328
701289141,1.97520050687788
701289143,3.78159436735609
701289151,3.11884178198348
701289154,20.2592263753544
701289157,1.39594542864622
701289159,29.1587026900643
701289160,27.2273334161251
701289164,3.3185258978289
701289165,3.11884178198348
701289175,0.445459554785502
701289176,4.91269366815794
701289178,27.2273334161251
701289181,0.445459554785502
701289190,0.445459554785502
701289191,3.11884178198348
701289193,1.78611477832911
701289196,2.178199561252
701289200,2.178199561252
701289217,2.70973603864328
701289219,3.11884178198348
701289224,0.567108812226276
701289226,2.178199561252
701289232,2.70973603864328
701289246,2.16076248605263
701289249,2.178199561252
701289250,27.2273334161251
701289262,2.03725794387582
701289263,4.17898006371151
701289266,2.178199561252
701289271,2.66241665887385
701289272,2.178199561252
701289277,2.71788009348849
701289283,2.70973603864328
701289285,2.70973603864328
701289288,1.53794475532591
701289290,5.28834228667974
701289293,2.75315854321758
701289295,2.75315854321758
701289298,2.16076248605263
701289306,2.35257820918317
701289312,2.84544149871133
701289317,3.41275627783007
701289319,2.20670313840879
701289320,2.03725794387582
701289324,2.34963205864134
701289326,2.75315854321758
701289335,9.28580099791975
701289337,5.36880190001193
701289340,2.35257820918317
701289342,2.51206102144276
701289343,2.75904455293427
701289344,6.48494976794342
701289348,2.03725794387582
701289351,6.48494976794342
701289355,0.588489127203384
701289363,2.51206102144276
701289375,2.51206102144276
701289381,2.03725794387582
701289383,2.34947977493127
701289387,2.16076248605263
701289390,2.03725794387582
701289392,2.51206102144276
701289399,2.16076248605263
701289402,6.48494976794342
701289404,2.35257820918317
701289406,49.2622679816892
701289408,2.87068439315406
701289415,2.51806112982018
701289416,2.51592518207411
701289418,2.39762051434062
701289424,2.39762051434062
701289426,3.39696856107538
701289427,0.588489127203384
701289430,1.22600899416004
701289432,2.33474744554279
701289433,26.1411182426329
701289435,2.13771918939731
701289440,6.94654485880243
701289446,0.588489127203384
701289448,2.39762051434062
701289455,2.25185494735825
701289459,5.52206713008076
701289461,2.25185494735825
701289469,18.160991656575
701289476,1.87921864980059
701289480,1.35390294234897
701289488,2.05824243826496
701289490,1.96430346741118
701289491,3.42420396973471
701289496,1.96430346741118
701289500,1.96430346741118
701289501,1.66163970550782
701289509,1.35224093357575
701289511,1.90461609671678
701289513,4.25933887545829
701289515,3.42420396973471
701289520,3.06722862852108
701289522,4.17227511926492
701289525,6.94654485880243
701289529,1.96430346741118
701289533,1.91160789667464
701289541,6.94654485880243
701289542,1.96553640156901
701289543,1.96430346741118
701289545,2.13251085522535
701289552,1.96430346741118
701289553,1.84226879602398
701289563,1.02622007824959
701289567,3.11441248649487
701289569,3.42420396973471
701289571,2.12085884378557
701289575,1.43434142749998
701289577,2.12085884378557
701289585,0.571142795283534
701289591,3.58957733648648
701289596,3.58957733648648
701289607,2.31848155154798
701289611,18.160991656575
701289616,18.160991656575
701289621,2.31848155154798
701289623,2.1764179152663
701289624,2.16865599482811
701289625,2.55101782510261
701289629,2.13569267582475
701289635,2.13569267582475
701289641,2.13112300002489
701289647,2.13569267582475
701289652,2.13112300002489
701289657,1.40024744723175
701289659,2.56264030154848
701289664,1.84693821129518
701289666,3.08165267572136
701289672,3.08165267572136
701289675,2.2857944584058
701289680,2.2857944584058
701289685,2.2857944584058
701289687,1.6975490621002
701289688,1.84693821129518
701289691,0.845993549219659
701289692,4.34983761117871
701289693,1.6975490621002
701289700,2.29196010721287
701289702,1.6975490621002
701289707,2.03259617979235
701289711,2.42505878285243
701289712,1.70022525724039
701289717,2.03163536972733
701289719,3.91275594294969
701289720,1.6975490621002
701289726,2.21139952675903
701289728,2.03259617979235
701289730,1.73075147464397
701289731,1.58299030583737
701289741,1.6975490621002
701289743,1.84693821129518
701289745,1.65872114373216
701289747,3.35217771948687
701289753,2.30636442969745
701289767,2.28240203374105
701289773,1.26527455850878
701289775,2.71906807645962
701289778,2.15243308951765
701289780,1.44785651469587
701289782,1.54072965179927
701289785,2.28240203374105
701289786,5.66308424991797
701289789,1.6975490621002
701289793,3.71572951213019
701289794,1.6975490621002
701289795,1.40089253398229
701289797,2.15243308951765
701289804,1.93081000773685
701289806,2.26026692937033
701289808,3.71572951213019
701289815,1.6975490621002
701289819,1.6975490621002
701289822,1.20801299941926
701289826,3.71572951213019
701289827,1.67470684111733
701289828,18.1308682101855
701289831,14.4241587815246
701289832,1.84693821129518
701289841,3.71572951213019
701289843,1.67470684111733
701289848,2.24953369642241
701289853,1.60375037642822
701289855,2.24953369642241
701289858,1.6975490621002
701289861,2.24953369642241
701289867,1.63935916323478
701289869,2.24061397372631
701289870,1.5968314263862
701289872,1.72322994290182
701289876,2.20067304946386
