"rid","us_strm_crossings"
701290209,1.31734760354771e-06
701290212,0
701290215,8.36143431286657e-07
701290218,8.07137092890865e-07
701290219,7.24935679155762e-07
701290221,1.16772006324311e-06
701290225,1.48385598726338e-06
701290227,1.38296522351076e-06
701290228,0
701290231,0
701290233,1.48385598726338e-06
701290235,1.13252428795883e-06
701290240,0
701290248,1.38296522351076e-06
701290250,1.13252428795883e-06
701290256,1.38296522351076e-06
701290261,0
701290265,0
701290268,0
701290272,1.34562941457611e-06
701290280,0
701290282,2.22797114826557e-06
701290287,0
701290289,3.82554854416244e-06
701290291,1.12159495178113e-06
701290292,0
701290293,0
701290296,1.34013779046513e-06
701290298,8.07137092890865e-07
701290301,0
701290304,1.48385598726338e-06
701290307,0
701290308,1.38218251641087e-06
701290310,1.38296522351076e-06
701290311,1.80694018164317e-06
701290317,0
701290323,0
701290326,0
701290327,0
701290328,0
701290330,7.08621167099313e-07
701290331,1.36232905165518e-06
701290332,0
701290334,0
701290340,1.1268123480573e-06
701290344,0
701290347,0
701290354,0
701290356,1.39606746040214e-06
701290357,1.28514034671702e-06
701290359,0
701290366,0
701290369,0
701290374,1.1679044026819e-06
701290375,6.99620478208465e-06
701290376,6.25798015556482e-07
701290377,1.44397981558864e-06
701290384,1.29183084930219e-06
701290385,1.48385598726338e-06
701290387,0
701290390,1.56578788764615e-06
701290396,0
701290403,2.63240213345969e-06
701290404,0
701290406,1.49658541331941e-06
701290411,4.99205880507891e-06
701290423,0
701290425,3.71448372980499e-06
701290436,8.07137092890865e-07
701290438,0
701290440,2.88237317626697e-06
701290449,0
701290451,0
701290452,0
701290454,6.25798015556482e-07
701290457,0
701290462,2.88237317626697e-06
701290464,0
701290471,1.39765285766507e-06
701290475,0
701290476,1.39726462600521e-06
701290485,6.25798015556482e-07
701290486,2.99184079449606e-06
701290489,1.46695983736281e-06
701290490,1.38252716057554e-06
701290492,1.15984053783558e-06
701290496,0
701290499,0
701290506,1.35108413769836e-06
701290513,1.38312623375433e-06
701290515,0
701290518,6.25798015556482e-07
701290520,0
701290522,1.07896966168049e-05
701290531,0
701290535,1.38312623375433e-06
701290541,0
701290542,2.5747538165842e-06
701290544,2.63240213345969e-06
701290545,1.15984053783558e-06
701290549,2.64779621421571e-06
701290551,2.17354828970828e-06
701290555,1.15984053783558e-06
701290557,1.76279421389421e-06
701290560,0
701290563,0
701290567,1.15984053783558e-06
701290571,1.26701890855776e-06
701290579,0
701290580,1.38312623375433e-06
701290582,2.40824658014964e-06
701290583,1.38312623375433e-06
701290588,0
701290597,2.09947772352101e-06
701290598,0
701290600,1.38312623375433e-06
701290607,1.40222392707543e-06
701290617,0
701290619,2.40824658014964e-06
701290620,1.11324397019005e-06
701290622,1.40222392707543e-06
701290623,1.38298015580908e-06
701290627,0
701290633,0
701290635,1.10602222807121e-06
701290637,4.48882789585256e-06
701290640,1.40222392707543e-06
701290647,0
701290649,0
701290652,2.40824658014964e-06
701290654,4.48882789585256e-06
701290656,0
701290658,1.52498104383687e-06
701290661,1.52498104383687e-06
701290679,1.40222392707543e-06
701290691,3.4215940900496e-06
701290695,0
701290696,0
701290703,3.59096926158178e-06
701290706,2.20493768824485e-06
701290710,2.73559932959068e-06
701290711,1.10089167314836e-06
701290728,0
701290734,4.98228482118326e-06
701290738,4.98228482118326e-06
701290740,0
701290755,1.15984053783558e-06
701290757,0
701290758,0
701290765,0
701290767,1.10089167314836e-06
701290771,2.73559932959068e-06
701290784,2.90251842020476e-06
701290785,0
701290787,3.4215940900496e-06
701290789,1.86548115737085e-06
701290791,7.56733684511198e-07
701290793,0
701290795,6.39430278057753e-06
701290799,0
701290802,9.49576574214834e-07
701290804,1.76279421389421e-06
701290808,1.01607420274558e-06
701290809,2.10219908633097e-06
701290817,1.24990577116629e-06
701290819,2.20493768824485e-06
701290821,1.08810155166242e-06
701290831,1.21640563457287e-05
701290834,0
701290835,2.73559932959068e-06
701290837,0
701290838,9.93447982657407e-07
701290844,2.20493768824485e-06
701290845,1.54262830733776e-06
701290847,6.38024014107349e-06
701290856,1.64050959330937e-06
701290861,1.76279421389421e-06
701290865,6.79352060037907e-06
701290867,1.60174310526337e-06
701290868,8.15936767276544e-07
701290875,2.32971076053588e-06
701290880,1.06898429600004e-06
701290882,1.55940540675246e-06
701290888,1.08810155166242e-06
701290890,3.4215940900496e-06
701290892,7.75913248069582e-06
701290901,9.49576574214834e-07
701290905,2.55179579670386e-06
701290908,0
701290911,2.52641618106181e-06
701290913,1.40222392707543e-06
701290914,9.49576574214834e-07
701290916,0
701290919,1.99115893977669e-06
701290923,2.55179579670386e-06
701290934,1.23820444053057e-06
701290947,2.49653516307751e-06
701290950,1.05153319552048e-05
701290956,2.20493768824485e-06
701290959,0
701290961,0
701290963,7.95837128590073e-07
701290964,1.76279421389421e-06
701290966,3.70768020067474e-06
701290969,3.16012851160207e-06
701290971,1.49995177812528e-06
701290976,1.84786592524307e-06
701290977,1.05153319552048e-05
701290981,6.02698499709622e-07
701290985,2.41891480832478e-06
701290992,0
701290996,1.07918723115942e-05
701290998,7.95837128590073e-07
701291001,6.02698499709622e-07
701291005,3.00724573546196e-06
701291007,0
701291013,7.37278304656826e-07
701291017,2.872466728623e-06
701291028,1.29064816984992e-06
701291029,2.14769219921192e-06
701291030,1.07918723115942e-05
701291034,1.17251831618944e-06
701291038,1.19568200859652e-06
701291039,7.37278304656826e-07
701291040,0
701291041,3.50885863064338e-06
701291044,3.50885863064338e-06
701291048,3.97220880337265e-06
701291052,0
701291054,0
701291055,1.29064816984992e-06
701291062,0
701291069,1.29064816984992e-06
701291077,3.50885863064338e-06
701291079,4.78800340007804e-06
701291081,8.90445135206922e-07
701291089,1.29064816984992e-06
701291094,0
701291097,1.29064816984992e-06
701291105,6.75988792953773e-07
701291110,0
701291113,1.29064816984992e-06
701291116,0
701291117,3.50196432988644e-06
701291123,4.16702179010242e-06
701291125,3.00428380226508e-05
701291131,0
701291133,4.55094096853984e-06
701291138,8.90445135206922e-07
701291143,0
701291144,3.00428380226508e-05
701291146,1.34973712229613e-05
701291148,6.02698499709622e-07
701291152,1.40901218208515e-06
701291155,1.17251831618944e-06
701291156,4.16702179010242e-06
701291158,4.55094096853984e-06
701291173,1.29064816984992e-06
701291178,3.59169279571395e-06
701291181,0
701291183,1.43873907393719e-06
701291193,1.43873907393719e-06
701291195,8.90445135206922e-07
701291196,1.08810155166242e-06
701291198,0
701291199,2.14455292690663e-06
701291200,2.6864601309563e-06
701291207,6.62760789784595e-07
701291208,3.17693734813132e-06
701291212,2.17835393215462e-06
701291217,2.25977882659017e-06
701291219,3.30839572872699e-06
701291225,2.6864601309563e-06
701291229,2.6864601309563e-06
701291230,3.30839572872699e-06
701291236,8.90445135206922e-07
701291237,1.43873907393719e-06
701291239,4.29004821523927e-06
701291247,1.10790614298658e-06
701291251,1.40222392707543e-06
701291253,3.80064942535408e-06
701291257,1.68329086407316e-05
701291259,1.62870178389651e-06
701291266,1.9347878801777e-06
701291268,5.26780375385423e-06
701291274,1.9319187499951e-06
701291277,3.80064942535408e-06
701291287,1.87676170566535e-06
701291290,2.08077600194321e-06
701291293,3.50196432988644e-06
701291295,4.35496350291263e-06
701291303,1.59983978647634e-06
701291304,2.08077600194321e-06
701291305,1.58360532528122e-06
701291306,0
701291309,1.43934992067127e-06
701291311,2.20386542841263e-06
701291313,0
701291318,3.80064942535408e-06
701291329,2.31856935091369e-06
701291331,2.11595936894939e-06
701291335,4.35496350291263e-06
701291336,2.41794846171786e-06
701291344,2.41794846171786e-06
701291347,3.30839572872699e-06
701291348,2.15115243146045e-06
701291352,2.19941435450581e-06
701291354,1.87676170566535e-06
701291356,2.49969912558952e-06
701291358,2.30678140489294e-06
701291359,2.39412274907275e-06
701291360,2.30678140489294e-06
701291363,0
701291365,8.90445135206922e-07
701291368,4.87613303915502e-06
701291384,0
701291386,6.55131005707006e-06
701291388,1.07889806253086e-06
701291400,2.30678140489294e-06
701291404,2.36805827208676e-06
701291408,2.30678140489294e-06
701291410,6.55131005707006e-06
701291412,3.80064942535408e-06
701291418,4.87613303915502e-06
701291433,4.30283544035221e-06
701291437,1.42559006935178e-06
701291443,1.87676170566535e-06
701291446,2.17471313367753e-06
701291448,1.68572063006114e-07
701291450,1.07889806253086e-06
701291453,0
701291462,0
701291465,0
701291472,1.87676170566535e-06
701291476,2.49969912558952e-06
701291477,2.00799688978149e-06
701291483,2.17471313367753e-06
701291485,0
701291490,1.93573918584965e-06
701291496,3.80064942535408e-06
701291499,3.80064942535408e-06
701291504,2.30576183996592e-06
701291507,2.24766759354005e-06
701291510,3.80064942535408e-06
701291511,2.00799688978149e-06
701291519,4.42717790977788e-06
701291521,5.86367022547902e-06
701291523,3.20697312537343e-06
701291524,1.87676170566535e-06
701291529,8.90445135206922e-07
701291530,9.23426151311626e-07
701291533,1.05149760215002e-05
701291534,8.90445135206922e-07
701291536,0
701291546,1.93573918584965e-06
701291548,5.26780375385423e-06
701291553,1.02361258227768e-06
701291555,8.90445135206922e-07
701291560,1.46395595249799e-06
701291562,2.66005902472003e-06
701291565,1.45678072093435e-06
701291567,3.00724573546196e-06
701291569,8.1087292008235e-07
701291574,1.45159034197657e-06
701291576,1.10810405435101e-06
701291577,2.08704795563674e-06
701291578,0
701291579,1.87676170566535e-06
701291588,8.1087292008235e-07
701291593,2.08704795563674e-06
701291595,1.25451019178078e-06
701291599,1.75453834635456e-06
701291600,8.72696176944033e-06
701291602,1.85389168282815e-06
701291604,6.77173134708774e-06
701291607,1.26948254705123e-06
701291608,2.25977882659017e-06
701291610,4.35496350291263e-06
701291612,1.26948254705123e-06
701291614,1.10810405435101e-06
701291617,5.20932598342279e-06
701291620,5.20932598342279e-06
701291623,2.24543941156647e-06
701291625,0
701291629,3.99273966106471e-06
701291631,1.1434626268094e-06
701291632,2.30576183996592e-06
701291634,2.0272133868018e-06
701291644,0
701291646,1.26948254705123e-06
701291648,4.84804326402341e-06
701291650,2.64270137086349e-06
701291654,1.36644681087854e-06
701291661,1.28490983743984e-05
701291662,1.42387212146502e-06
701291666,1.40222392707543e-06
701291668,1.48567587773794e-06
701291673,7.855188796296e-07
701291675,0
701291683,1.42559006935178e-06
701291693,0
701291694,0
701291696,0
701291700,4.43958305758713e-06
701291702,2.78602392646319e-06
701291703,1.67530647709485e-06
701291708,1.61640121549883e-06
701291711,1.87937182280733e-06
701291713,0
701291719,2.00799688978149e-06
701291722,1.03944426066868e-05
701291723,2.21883168860413e-06
701291725,4.97619572829256e-06
701291727,4.30283544035221e-06
701291728,1.10810405435101e-06
701291730,6.77173134708774e-06
701291732,0
701291734,8.1087292008235e-07
701291735,0
701291737,0
701291739,2.91557538113642e-06
701291743,7.855188796296e-07
701291745,0
701291747,1.33644422105494e-06
701291751,1.94077677372513e-06
701291754,0
701291766,1.75921987792097e-06
701291767,1.88372575476525e-06
701291769,2.28002283375249e-06
701291787,8.30704174695772e-06
701291795,1.45159034197657e-06
701291801,1.25451019178078e-06
701291805,2.24021580093796e-06
701291810,8.30704174695772e-06
701291814,0
701291816,0
701291819,1.04159171817509e-05
701291821,3.40966013131438e-06
701291828,0
701291830,1.75921987792097e-06
701291853,0
701291855,3.98680055144637e-06
701291856,2.98787293487112e-05
701291874,1.17684361959239e-06
701291879,7.855188796296e-07
701291880,1.48567587773794e-06
701291881,8.30704174695772e-06
701291883,7.90187464706277e-06
701291885,8.94237620187241e-06
701291886,1.9917794990269e-06
701291887,0
701291897,0
701291899,0
701291900,1.75921987792097e-06
701291905,0
701291907,9.14333515432911e-06
701291909,0
701291910,3.47114991290376e-06
701291911,4.18253547813552e-06
701291918,1.80522142265953e-06
701291919,0
701291923,1.30786043756139e-06
701291925,0
701291931,2.4877546527701e-06
701291939,1.48567587773794e-06
701291940,2.24198139034267e-06
701291942,0
701291949,3.04157396235644e-06
701291961,1.75921987792097e-06
701291963,3.04157396235644e-06
701291971,0
701291978,7.855188796296e-07
701291980,1.19599563192045e-06
701291983,1.74592232485414e-06
701291989,1.66470206438775e-06
701291995,7.05575978072014e-06
701291997,3.66630384335866e-06
701291999,1.8929069871246e-06
701292004,1.78351654840297e-06
701292005,2.18731356132464e-06
701292007,1.24814391249088e-06
701292013,1.37673326370435e-06
701292015,1.8929069871246e-06
701292017,2.15731808421943e-06
701292021,3.14295872850655e-06
701292033,1.9307516329706e-06
701292036,1.78351654840297e-06
701292039,2.03676496491692e-06
701292041,0
701292049,6.17414655013029e-06
701292051,1.48567587773794e-06
701292054,1.78351654840297e-06
701292056,1.2893495725743e-05
701292063,7.855188796296e-07
701292069,0
701292070,1.54761123928891e-06
701292074,1.19599563192045e-06
701292076,0
701292086,1.18708231447402e-06
701292089,0
701292096,2.06046647521386e-06
701292107,0
701292110,2.07849183965809e-06
701292112,2.01603755211538e-06
701292118,1.64091144680599e-06
701292126,1.64091144680599e-06
701292129,1.49037483225563e-06
701292131,1.15276050486321e-06
701292134,1.15276050486321e-06
701292135,1.93036657424288e-06
701292136,1.02414724795203e-06
701292137,1.49037483225563e-06
701292145,3.38349792737389e-06
701292147,1.49925881336947e-06
701292148,7.855188796296e-07
701292150,2.32573921000554e-06
701292151,3.95509709762781e-06
701292154,1.15276050486321e-06
701292157,2.07342906358441e-06
701292159,0
701292162,2.32573921000554e-06
701292164,1.49037483225563e-06
701292165,2.32482123685733e-06
701292166,1.15276050486321e-06
701292167,1.95942089005347e-06
701292168,3.76444347176746e-06
701292170,1.8700092613873e-06
701292172,0
701292174,2.26203494559744e-06
701292175,1.7921891349002e-06
701292182,1.94975750710116e-06
701292184,6.5919915544712e-06
701292186,1.22966891011378e-06
701292197,1.7921891349002e-06
701292200,1.22966891011378e-06
701292203,2.09279040408631e-06
701292205,2.49969912558952e-06
701292208,4.18253547813552e-06
701292210,1.02414724795203e-06
701292216,8.51952618734511e-07
701292218,1.37673326370435e-06
701292219,0
701292228,3.81818884304185e-06
701292232,2.11169588462811e-06
701292236,3.81818884304185e-06
701292237,1.22966891011378e-06
701292239,1.7921891349002e-06
701292240,1.95560230887874e-06
701292246,3.27551932003573e-06
701292248,0
701292252,1.18708231447402e-06
701292254,4.83725527937957e-06
701292259,0
701292260,2.11692834440907e-06
701292262,1.95560230887874e-06
701292274,4.18253547813552e-06
701292276,3.81818884304185e-06
701292280,1.7921891349002e-06
701292285,0
701292289,1.19759889433636e-06
701292292,3.04780885290512e-06
701292298,6.59764724712504e-07
701292301,0
701292305,1.78853523659873e-06
701292306,0
701292311,0
701292314,1.72850885882496e-06
701292320,1.82556464414531e-06
701292325,0
701292327,2.07652754570191e-06
701292328,0
701292329,0
701292331,1.02414724795203e-06
701292337,2.4205548395077e-06
701292343,3.63678692199349e-06
701292347,2.05232839250142e-06
701292349,0
701292353,0
701292357,0
701292360,1.21095915347992e-06
701292361,2.01149489134663e-06
701292364,1.00929749842246e-06
701292369,1.41981299555764e-06
701292370,1.00929749842246e-06
701292371,1.00929749842246e-06
701292372,1.00929749842246e-06
701292377,3.14295872850655e-06
701292379,1.89445777275134e-06
701292382,1.95606346010131e-06
701292385,1.97640850193708e-06
701292389,1.95560230887874e-06
701292390,0
701292395,1.39142447649456e-06
701292396,4.83725527937957e-06
701292397,1.72183961248395e-06
701292398,1.89362031568844e-06
701292399,2.44872848532506e-06
701292401,1.68607455640276e-06
701292417,0
701292431,2.4205548395077e-06
701292432,5.59534513721472e-07
701292433,0
701292438,7.323007954282e-06
701292439,0
701292441,0
701292444,1.43175626074183e-06
701292446,1.94443329100105e-06
701292449,9.88260393708643e-07
701292452,1.91561491522608e-06
701292453,1.93462849414292e-06
701292454,0
701292457,9.88260393708643e-07
701292460,2.4205548395077e-06
701292462,2.4205548395077e-06
701292466,2.4205548395077e-06
701292467,1.03639592915587e-05
701292469,4.83410397014507e-06
701292478,2.44872848532506e-06
701292482,2.85939499261725e-06
701292502,5.59534513721472e-07
701292504,1.72141393535004e-06
701292513,1.68607455640276e-06
701292514,2.59638204762691e-06
701292518,7.855188796296e-07
701292521,2.00043611347675e-06
701292523,2.28984337289401e-06
701292535,7.855188796296e-07
701292537,1.68607455640276e-06
701292540,1.72141393535004e-06
701292552,0
701292560,0
701292561,2.306608124159e-06
701292565,3.04780885290512e-06
701292572,0
701292574,1.72183961248395e-06
701292579,0
701292581,1.42368544257009e-06
701292583,2.42320144451167e-06
701292586,3.04780885290512e-06
701292587,0
701292593,3.04780885290512e-06
701292595,1.00929749842246e-06
701292600,0
701292612,1.00929749842246e-06
701292614,0
701292621,1.71827738786085e-06
701292622,1.72183961248395e-06
701292624,1.78351654840297e-06
701292626,0
701292630,2.44872848532506e-06
701292637,3.04780885290512e-06
701292644,3.78306261957906e-06
701292645,1.8055484066543e-06
701292648,2.64206805823632e-06
701292649,0
701292652,1.28297580922298e-05
701292657,0
701292660,0
701292664,0
701292666,0
701292668,6.5199648555169e-07
701292671,5.58762015884849e-06
701292676,2.87249871081468e-06
701292681,0
701292683,1.8775611111726e-06
701292684,1.7848180624401e-06
701292685,1.28297580922298e-05
701292686,1.32310736522617e-05
701292688,5.2883682310127e-06
701292696,1.00929749842246e-06
701292699,1.00929749842246e-06
701292703,6.5199648555169e-07
701292706,0
701292715,1.2346575383169e-06
701292720,0
701292722,0
701292726,6.5199648555169e-07
701292728,0
701292730,3.04780885290512e-06
701292732,1.23135169719137e-06
701292733,1.19975749987041e-06
701292742,3.78834359037273e-06
701292744,2.64206805823632e-06
701292746,2.37970556481791e-06
701292753,4.65858067199459e-06
701292756,3.04780885290512e-06
701292764,2.98655579450205e-06
701292774,2.30750682585613e-05
701292776,0
701292781,1.49037483225563e-06
701292783,3.09190118381706e-06
701292785,0
701292788,2.44872848532506e-06
701292790,0
701292792,0
701292793,2.34964754410305e-06
701292800,0
701292805,8.94010332292509e-07
701292807,2.33116515935664e-06
701292814,2.38566275334374e-06
701292816,0
701292818,0
701292821,0
701292822,3.65195444607826e-06
701292828,0
701292841,6.5199648555169e-07
701292844,2.30525813062264e-06
701292846,1.78938132554998e-06
701292857,1.80025788480538e-06
701292858,2.37970556481791e-06
701292860,0
701292862,0
701292865,0
701292869,0
701292872,2.5688398426737e-06
701292879,0
701292883,2.33272978701087e-06
701292887,1.52874496996202e-06
701292892,1.43658953640947e-06
701292894,1.52874496996202e-06
701292901,2.09775842096088e-06
701292903,0
701292904,2.30525813062264e-06
701292907,1.38565355072639e-06
701292916,1.52874496996202e-06
701292917,4.04888694660483e-06
701292918,0
701292920,1.8160233234043e-06
701292923,2.70360571018789e-06
701292924,2.66107645806773e-06
701292926,1.19875095171009e-06
701292927,2.75233039896322e-06
701292930,2.09775842096088e-06
701292932,1.38565355072639e-06
701292935,1.48775489246716e-06
701292941,2.58292037419434e-06
701292948,6.5199648555169e-07
701292949,6.22263542595662e-06
701292951,7.323007954282e-06
701292953,2.58292037419434e-06
701292960,2.30525813062264e-06
701292962,2.30525813062264e-06
701292969,5.85769189291365e-06
701292972,0
701292976,1.78607571299424e-06
701292977,1.43658953640947e-06
701292980,1.48775489246716e-06
701292983,3.04780885290512e-06
701292986,1.19863139622165e-06
701292988,2.30525813062264e-06
701292989,2.79569962410601e-06
701292991,0
701293012,4.04888694660483e-06
701293015,1.4117671597249e-06
