"rid","us_elevation_mean"
701297875,NA
701298382,NA
701298502,NA
701298690,NA
701298713,NA
701298714,NA
701298729,NA
701298737,NA
701298743,NA
701298779,NA
701298818,NA
701299005,NA
701299035,NA
701299093,NA
701299109,NA
701299131,NA
701299223,NA
701299251,NA
701299431,NA
701299681,NA
701299758,NA
701299786,NA
701299795,NA
701299799,NA
701299836,NA
701299889,NA
701299975,NA
701300102,NA
701300177,NA
701300231,NA
701300252,NA
701300275,NA
701300329,NA
701300353,NA
701300381,NA
701300400,NA
701300411,NA
701300417,NA
701300457,NA
701300475,NA
701300494,NA
701300508,NA
701300544,NA
701300584,NA
701300693,NA
701300753,NA
701300785,NA
701300906,NA
701300967,NA
701300975,NA
701300989,NA
701301004,NA
701301035,NA
701301051,NA
701301206,NA
701301207,NA
701301242,NA
701301294,NA
701301333,NA
701301355,NA
701301370,NA
701301717,NA
701301879,NA
701301884,NA
701301885,NA
701301919,NA
701301991,NA
701302276,NA
701302532,NA
701302570,NA
701302580,NA
701302648,NA
701302695,NA
701302817,NA
701302835,NA
701302893,NA
701302965,NA
701302997,NA
701302998,NA
701303039,NA
701303054,NA
701303061,NA
701303105,NA
701303174,NA
701303274,NA
701303348,NA
701303369,NA
701303391,NA
701303413,NA
701303424,NA
701303485,NA
701303597,NA
701303631,NA
701303796,NA
701303874,NA
701304348,NA
701304505,NA
701304637,NA
701304792,NA
701304868,NA
701304957,NA
701305143,NA
701305206,NA
701305409,NA
701305563,NA
701305606,NA
701305677,NA
701309906,1347.32909048364
701309908,1346.35680353742
701309911,1352.82225719719
701309928,1355.3980409242
701310035,1355.3980409242
701310042,1355.3980409242
701310044,1359.8935655746
701310046,1361.33874622458
701310048,1363.21667523703
701310050,1369.53927000163
701310075,1370.66061592354
701310140,1370.66061592354
701310162,1439.56245618954
701310175,1432.3620746319
701310189,1379.08257454215
701310203,1379.08257454215
701310210,1379.85540469772
701310212,1383.10408504675
701310217,1385.45545938419
701310231,1385.49711328877
701310241,1385.49711328877
701310257,1335.68056749029
701310290,1335.68056749029
701310312,1419.00523449021
701310414,1340.59379507113
701310421,1345.22930881947
701310433,1345.57624923301
701310440,1389.38357742128
701310445,1350.67425063109
701310453,1350.67425063109
701310461,1389.38357742128
701310470,1389.38357742128
701310474,1350.67425063109
701310480,1389.38357742128
701310486,1370.31003257443
701310489,1350.67425063109
701310491,1351.33086808739
701310492,1352.98431592636
701304729,1475.4429689098
701304739,1291.66857142857
701304742,1479.73895536765
701304749,1473.45321826174
701304858,1465.57943610664
