"rid","us_MAT"
701304541,3.7
701304744,3.64596408871119
701304812,3.67814428416943
701304986,3.68207292001128
701305163,3.68207292001128
701305244,3.68207292001128
701305463,3.62185382716476
701306086,3.88346601973869
701306205,3.88346601973869
701306237,3.89290306850094
701306280,3.92506157841774
701306314,3.64905386908527
701306342,3.64937210871388
701306365,3.64928709309794
701306455,3.64982536613425
701306533,3.64987270130477
701306603,3.65070359583885
701306721,3.65640520267277
701306784,3.6594622623897
701306885,3.66010336169061
701306970,3.66102617263492
701307032,3.66213870937978
701307209,3.66374700070995
701307455,3.67222599456495
701307771,3.67332550715349
701308174,3.68102396188115
701308428,3.68528894904341
701308495,3.68561505956164
701308656,3.68934001792423
701308803,3.69440576418605
701309184,3.69750143820491
701309209,3.70487851463984
701309241,3.70487851463984
701309401,3.70487851463984
701309548,3.70487851463984
701309587,3.70718915138589
701309588,3.70889884419966
701309692,3.71987576054545
701309713,3.71987576054545
701309807,3.71987576054545
701309847,3.71987576054545
701309919,3.72105437877304
701309941,3.74546593914452
701310053,3.74836664819095
701310073,3.74838955838075
701310247,3.750047993284
701310346,3.76008995450148
701310419,3.76070454947675
701310501,3.76345180567829
701310509,3.76899333630737
701310529,3.7753355680837
701310618,3.77577703613004
701310838,3.77610561929312
701310956,3.78612867257979
701311061,3.78683171688234
701311071,3.78837707576729
701311285,3.79877886395295
701746017,4.55622282643233
701746606,4.55506866131664
701746689,4.55442977148601
701746883,4.55338666684415
701746925,4.55309956324942
701747059,4.55152278678981
701747264,4.55014630547006
701747272,4.55149099381712
701747515,4.54990418181814
701747632,4.54974347201933
701747850,4.54922466839464
701747977,4.54901686082111
701748001,4.54643457479273
701748065,4.54607369493855
701748263,4.54589866907708
701748457,4.54572114132443
701748617,4.54540920576325
701748772,4.54497399011642
701748855,4.54486276467982
701749372,4.54336024661532
701749374,4.54288650590928
701749377,4.54223881542281
701749886,4.54173278093655
701750020,4.54116172702499
701750405,4.53977597602497
701750615,4.5394538788765
701750719,4.53932047199483
701750743,4.53835601838411
701750803,4.5380729486528
701751418,4.5380170775783
701751480,4.53750398122013
701751587,4.53670874974903
701751687,4.53617649558895
701751738,4.53605478397637
701751806,4.53542097272335
701752421,4.53518990305466
701752705,4.5350446114468
701752743,4.5349309804762
701752834,4.53484215038709
701752970,4.53484123777398
701753341,4.53446333246552
701753529,4.53027545689408
701753543,4.53017766148272
701753590,4.52997553813659
701753595,4.53058308499834
701753597,4.52991810163666
701753625,4.5303330102417
701753763,4.52687004117619
701753834,4.52652684594227
701753946,4.52636475621328
701754023,4.52606330500221
701754206,4.52450443059707
701754372,4.52182631935383
701754514,4.52170891101824
701754546,4.51973759769861
701754547,4.5197368979687
701754882,4.51965843821582
701754988,4.51959758971865
701755180,4.51928403038219
701755304,4.51915241857094
701755608,4.51884056206845
701755736,4.51785618014343
701755815,4.51770238321987
701755920,4.51746251732387
701756015,4.51718843676693
701756037,4.51717824447112
701756101,4.51690600492667
701756116,4.51695024545902
701756195,4.51641628033014
701756571,4.51603646249325
701756795,4.51527568233742
701756829,4.51501614047965
701756992,4.51486073012122
701757335,4.51476485704466
701757381,4.5145166692411
701757388,4.51417455283251
701757607,4.51394823475195
701757659,4.51364181843272
701757784,4.51351434581596
701757979,4.51001129763612
701758143,4.50966574440934
701758481,4.50957914363848
701758931,4.5094730997718
701759064,4.50946893313309
701759082,4.50946893313309
701759248,4.50894363018888
701759307,4.5087261447196
701759353,4.50810124814189
701759548,4.50787269379665
701759870,4.5070813427137
701760069,4.5029130726525
701760082,4.5020071588335
701760389,4.5013592642063
701760449,4.49996846479996
701760512,4.5010897672424
701760520,4.49945648571411
701760542,4.50006936407803
701760578,4.50077303973899
701760742,4.50010937148922
701760747,4.50022578203151
701760778,4.49932090169966
701760807,4.50026795563487
701760818,4.50051908172157
701760819,4.50063781350421
701761103,4.49904505323933
701761298,4.51168586269841
701761377,4.51158904119049
701761393,4.49879381710385
701761499,4.51184168373091
701761555,4.51122494099161
701761603,4.51204972439344
701761627,4.5173922729056
701761643,4.51462755103065
701761649,4.51733159944622
701761654,4.51005474342313
701761824,4.50821262242545
701761879,4.50975743974755
701761910,4.50928269069979
701761916,4.50849458976119
701761921,4.50916381786745
701762186,4.50799348106203
701762254,4.50794520065758
701762313,4.50720667578465
701762323,4.5072052703533
701762380,4.50699259043794
701762575,4.50551228055799
701762593,4.50418402563186
701762609,4.50400148501946
701762674,4.5043746434675
701762676,4.50432069044133
701762695,4.50550954410803
701762732,4.50437266722418
701762789,4.5025360634923
701762893,4.50219900350782
701763409,4.50158648820599
701763517,4.50044210379497
701763608,4.50043187658844
701763850,4.50040684345677
701763889,4.50005072799131
701764031,4.4995323098408
701764571,4.49677094605201
701764650,4.49675275299977
701764876,4.4967496022651
701765213,4.49662073163446
701765249,4.49580995990596
701765314,4.49558235934719
701765466,4.49508009710476
701765569,4.49506450651157
701765590,4.49505259542045
701765677,4.49300471702784
701765714,4.49300324316056
701765761,4.49292042767327
701765797,4.49223481140543
701765801,4.49223481140543
701765910,4.49222960823486
701765978,4.49144469202891
701766021,4.49143931539582
701766041,4.49143807356217
701766252,4.49112729361004
701766432,4.49030856722369
701766524,4.48948957160845
701766626,4.48944458585001
701766718,4.48743986936563
701766857,4.48742983827344
701766897,4.48732310758739
701767050,4.48731110245985
701767173,4.48713140096722
701767221,4.48682693162626
701767717,4.48587113331897
701767747,4.48566709823293
701767788,4.48508297296171
701767853,4.48498843805549
701767869,4.48498843805549
701767972,4.4847649569272
701768024,4.48444018300364
701768128,4.48392256867437
701768237,4.48382930944
701768350,4.47981454689231
701768359,4.47952611515867
701768404,4.47895614446293
701768453,4.4780306763427
701768672,4.47689635477798
701768680,4.47695423266727
701768767,4.47688714204958
701769108,4.47687404744025
701769201,4.47681021811134
701769292,4.47673361809195
701769298,4.4753144973022
701769300,4.4753144973022
701769378,4.47508340547802
701769398,4.47387418342194
701769561,4.47387418342194
701769813,4.47375503126953
701769820,4.47371662824403
701769957,4.47367553395395
701770088,4.47367509419902
701770259,4.4733315895714
701770316,4.47305530888288
701770594,4.47442436210965
701770690,4.47427126846485
701770731,4.47422533302281
701770735,4.47392175914875
701770787,4.4720324269626
701770795,4.47200666681999
701770820,4.4720876951498
701770869,4.47209761804651
701770886,4.47063896026586
701770911,4.47314623999937
701770935,4.47041833788477
701770944,4.47315804573477
701770945,4.47384536597459
701771082,4.46967036908679
701771190,4.51429938185328
701771228,4.51363811391319
701771258,3.79877886395295
701771348,4.51391772202724
701771356,4.46916704299804
701771373,4.50942925640296
701771411,4.51433950487941
701771504,4.51061652472461
701771513,4.46844648689245
701771573,4.50977991324898
701771576,4.52839586736103
701771696,4.52829864115392
701771730,4.5187989635775
701771763,4.51990331991888
701771767,4.51856516897347
701771828,4.51753470612671
701771853,4.51790620235492
701771861,4.51818644198115
701771877,4.51477879216253
701771883,4.51845554336633
701771903,4.51469493353558
701771932,4.51457325150186
701771942,4.5200320190212
701771973,4.51819634706523
701771990,4.51839652905844
701772012,4.52329669231407
701772018,4.52506877081059
701772026,4.52515639003706
701772033,4.52279985848936
701772066,4.52180371743595
701772070,4.52515639003706
701772113,4.52516453853692
701772143,4.52211792984213
701772154,4.52682820971817
701772185,4.52693122201797
701772190,4.52778413485215
701772202,4.52519797161177
701772205,4.52670968267613
701772231,4.52212811075427
701772254,4.52214382140666
701772279,4.52618889820057
701772285,4.52643529663231
701772289,4.52520385514457
701772329,4.52622558149428
701772344,4.52622558149428
701772370,4.525491703079
701772381,4.52621064950165
701309684,3.88586579738871
701309686,3.89974178273573
701309702,3.8684790944754
701309706,4.10543922283024
701309707,4.11247417204735
701309708,3.89974178273573
701309766,4.08780225502126
701309771,3.9402079296529
701309782,4.06845480652193
701309785,3.96280990235362
701309788,3.96494951082648
701309796,4.0635889995257
701309809,4.06085361786298
701309841,4.05502637110183
701309852,4.01051008437078
701309900,4.04236445776261
701309923,4.01823785600902
701309936,4.01823785600902
701309996,4.21138715160295
701310028,4.1988496173903
701305667,4.1564687390631
701305685,4.73136877072889
701305705,4.3888288941168
701305710,4.73136877072889
701305769,3.63879056126459
701305928,3.63879056126459
701305963,3.63944007503911
701306031,3.64164918737503
701306069,3.64259801969764
701306108,3.64402948971801
701306151,3.64411430930613
701306159,3.64418259485038
701306176,3.64418259485038
701306220,3.64429455276167
701306239,3.64437475539626
701306279,3.64463891016239
701289848,3.46382087646814
701289855,3.46382087646814
701289861,3.46382087646814
701289869,3.47943432126167
701289878,3.53767496158204
701289904,3.53767496158204
701289943,3.53767496158204
701290007,3.5723693855331
701290028,3.5723693855331
701290046,3.5785659654376
701290062,3.58271874977558
701290103,3.58638673962467
701290109,3.59553421816513
701290124,3.59592505874116
701290166,3.59639755118167
701290200,3.596499315937
701290221,3.59757711568972
701290235,3.67658510762293
701290250,3.67658510762293
701290291,3.6816560251523
701290340,3.69530404035946
701290620,3.70217988482958
701290635,3.70731578269371
701290711,3.71227270635569
701290767,3.71227270635569
701290821,3.72507768246657
701290888,3.72507768246657
701291196,3.72507768246657
701291388,3.73506536874081
701291450,3.73506536874081
701291553,3.78536317116626
